indikatorBeskrivelse;indikatorReferanseUid2;geografiskOmradeReferanseUid;nedreKonfidensIntervalGrense;tilstandsverdi;ovreKonfidensIntervalGrense;periodeStart;periodeSlutt
Smågnagere;smaagnagere;nord-norge-2020;0.03412171675;0.067341295;0.10242866;2016;2020
Smågnagere;smaagnagere;hele-norge-2020;0.0816123281229382;0.10923246644886;0.137841223827085;2016;2020
Smågnagere;smaagnagere;sorlandet-2020;0.208767376079652;0.346557243209667;0.475257105424586;2016;2020
Smågnagere;smaagnagere;vestlandet-2020;0.13846647461174;0.224677232640463;0.308029916252103;2016;2020
Vegetasjonens varmekrav;varmekrav;midt-norge-2020;0.357919120877917;0.424234103996286;0.491530009482133;2016;2020
Vegetasjonens varmekrav;varmekrav;ostlandet-2020;0.290026590985637;0.356236806300271;0.433911694672111;2016;2020
Vegetasjonens varmekrav;varmekrav;nord-norge-2020;0.424788464023578;0.47082827480265;0.522234097092655;2016;2020
Vegetasjonens varmekrav;varmekrav;hele-norge-2020;0.411491052928559;0.444119519339389;0.475720345767606;2016;2020
Vegetasjonens varmekrav;varmekrav;sorlandet-2020;0.238106642599813;0.37602125736533;0.484150428182604;2016;2020
Vegetasjonens varmekrav;varmekrav;vestlandet-2020;0.413001729377644;0.516830400819515;0.619684938644168;2016;2020
Vinterregn;vinterregn;midt-norge-2020;0.91093775219878;0.963924152789379;1;2016;2020
Vinterregn;vinterregn;ostlandet-2020;1;1;1;2016;2020
Vinterregn;vinterregn;nord-norge-2020;0.793486846546103;0.793486846546103;1;2016;2020
Vinterregn;vinterregn;hele-norge-2020;0.793486846546103;1;1;2016;2020
Vinterregn;vinterregn;sorlandet-2020;1;1;1;2016;2020
Vinterregn;vinterregn;vestlandet-2020;0.981956809703743;1;1;2016;2020
