Id	name	navn	TaxonId	mcat	cat	IntroSpread	frq	abun	timing	comm
FA3/N/2512	Crassostrea virginica		85393	unaided	naturalDispersalAcrossBorders	spread	unknown	unknown	unknown	"Arten har pelagisk larvefase, og en m&#229; regne med at den vil spre seg naturlig i Norge hvis den f&#248;rst har klart &#229; etablere en bestand"
FA3/N/2918	Crataegus flabellata	kanadahagtorn	145769	escape	horticulture	introduction	unknown	unknown	ongoing	
FA3/N/2918	Crataegus flabellata	kanadahagtorn	145769	escape	ornamentalPurposeOther	introduction	unknown	unknown	ongoing	
FA3/N/2918	Crataegus flabellata	kanadahagtorn	145769	escape	otherEscape	introduction	rarerThan10years	unknown	ongoing	Utkast fra hager.
FA3/N/861	Crataegus laevigata	parkhagtorn	132045	escape	horticulture	introduction	severalPr10years	unknown	ongoing	
FA3/N/861	Crataegus laevigata	parkhagtorn	132045	escape	ornamentalPurposeOther	introduction	severalPr10years	unknown	ongoing	
FA3/N/861	Crataegus laevigata	parkhagtorn	132045	unaided	naturalDispersalAcrossBorders	spread	numerousYearly	unknown	ongoing	Fuglespredning fra forvillete individer.
FA3/N/862	Crataegus macracantha	sylhagtorn	132046	escape	horticulture	introduction	rarerThan10years	unknown	ongoing	
FA3/N/863	Crataegus sanguinea	sibirhagtorn	63258	escape	horticulture	introduction	severalPr10years	unknown	ongoing	
FA3/N/863	Crataegus sanguinea	sibirhagtorn	63258	escape	ornamentalPurposeOther	introduction	severalPr10years	unknown	ongoing	
FA3/N/863	Crataegus sanguinea	sibirhagtorn	63258	unaided	naturalDispersalAcrossBorders	spread	unknown	unknown	ongoing	
FA3/N/39	Crepidula fornicata		80004	stowaway	otherMeansOfTransport	introduction	unknown	unknown	ceased	"Arten kan ha kommet inn ved larvespredning fra oppstr&#248;ms populasjoner, men kan ogs&#229; ha blitt introdusert som blindpassasjer med tidligere import av &#248;sters."
FA3/N/39	Crepidula fornicata		80004	unaided	naturalDispersalAcrossBorders	spread	unknown	unknown	ongoing	"Larver spres med havstr&#248;mmer"
FA3/N/865	Crepis biennis	veihaukeskjegg	60496	contaminant	seedContaminant	introduction	severalPr10years	unknown	historic	
FA3/N/865	Crepis biennis	veihaukeskjegg	60496	stowaway	vehicles	introduction	severalPr10years	unknown	ongoing	
FA3/N/865	Crepis biennis	veihaukeskjegg	60496	stowaway	ballastWater	introduction	severalPr10years	unknown	historic	
FA3/N/865	Crepis biennis	veihaukeskjegg	60496	stowaway	vehicles	spread	numerousYearly	unknown	ongoing	
FA3/N/865	Crepis biennis	veihaukeskjegg	60496	unaided	naturalDispersalAcrossBorders	spread	numerousYearly	unknown	ongoing	
FA3/N/866	Crepis capillaris	brakkhaukeskjegg	132062	stowaway	ballastWater	introduction	severalPr10years	unknown	historic	
FA3/N/866	Crepis capillaris	brakkhaukeskjegg	132062	stowaway	vehicles	introduction	rarerThan10years	unknown	ongoing	
FA3/N/866	Crepis capillaris	brakkhaukeskjegg	132062	contaminant	seedContaminant	introduction	rarerThan10years	unknown	ceased	
FA3/N/866	Crepis capillaris	brakkhaukeskjegg	132062	contaminant	transportationOfHabitatMaterial	introduction	rarerThan10years	unknown	ongoing	
FA3/N/2292	Crocus ×stellaris		145702	escape	horticulture	introduction	severalPr10years	unknown	ongoing	
FA3/N/2292	Crocus ×stellaris		145702	escape	otherEscape	introduction	numerousYearly	unknown	ongoing	Utkast fra hager.
FA3/N/2293	Crocus chrysanthus	begerkrokus	85601	escape	horticulture	introduction	rarerThan10years	unknown	ongoing	
FA3/N/2293	Crocus chrysanthus	begerkrokus	85601	escape	ornamentalPurposeOther	introduction	rarerThan10years	unknown	ongoing	
FA3/N/2293	Crocus chrysanthus	begerkrokus	85601	escape	otherEscape	introduction	rarerThan10years	unknown	ongoing	Utkast fra hage.
FA3/N/873	Crocus flavus	gulkrokus	132079	escape	horticulture	introduction	severalPr10years	unknown	ongoing	
FA3/N/873	Crocus flavus	gulkrokus	132079	escape	ornamentalPurposeOther	introduction	severalPr10years	unknown	ongoing	
FA3/N/873	Crocus flavus	gulkrokus	132079	escape	otherEscape	introduction	severalPr10years	unknown	ongoing	Utkast fra hager.
FA3/N/2294	Crocus speciosus	høstkrokus	85602	escape	ornamentalPurposeOther	introduction	rarerThan10years	unknown	ongoing	
FA3/N/874	Crocus tommasinianus	snøkrokus	59428	escape	horticulture	introduction	severalPr10years	unknown	ongoing	
FA3/N/874	Crocus tommasinianus	snøkrokus	59428	escape	ornamentalPurposeOther	introduction	severalPr10years	unknown	ongoing	
FA3/N/874	Crocus tommasinianus	snøkrokus	59428	escape	otherEscape	introduction	severalPr10years	unknown	ongoing	Utkast fra hager.
FA3/N/875	Crocus vernus	vårkrokus	132080	escape	horticulture	introduction	numerousYearly	unknown	ongoing	
FA3/N/875	Crocus vernus	vårkrokus	132080	escape	ornamentalPurposeOther	introduction	numerousYearly	unknown	ongoing	
FA3/N/875	Crocus vernus	vårkrokus	132080	escape	otherEscape	introduction	numerousYearly	unknown	ongoing	Utkast fra hager.
FA3/N/266	Cronartium ribicola	solbærfiltrust	80690	contaminant	parasitesOnPlants	introduction	severalPr10years	2to10	ceased	"Import av mottakelige <i>Pinus-</i>arter har trolig f&#248;rt soppen til Norge"
FA3/N/266	Cronartium ribicola	solbærfiltrust	80690	unaided	naturalDispersalAcrossBorders	introduction	unknown	unknown	unknown	Sporer av Cronartium ribicola kan transporteres med luftmasser over store avstander
FA3/N/266	Cronartium ribicola	solbærfiltrust	80690	unaided	naturalDispersalAcrossBorders	spread	unknown	unknown	unknown	Sporer av Cronartium ribicola kan transporteres med luftmasser over store avstander
FA3/N/877	Cruciata laevipes	korsmaure	132083	contaminant	otherUnknownContaminant	introduction	rarerThan10years	unknown	ceased	Trolig kommet inn med gartnerivarer (bark, jord etc.).
FA3/N/877	Cruciata laevipes	korsmaure	132083	contaminant	contaminantOnPlants	introduction	rarerThan10years	unknown	ongoing	Trolig kommet inn med plantemateriale importert til gartnerier/planteskoler.
FA3/N/3120	Cryptocline taxicola		140771	contaminant	parasitesOnPlants	introduction	severalPr10years	unknown	unknown	
FA3/N/330	Cryptolaemus montrouzieri	veksthusmarihøne	7327	escape	horticulture	introduction	unknown	unknown	unknown	"Det eneste kjente funnet i Norge hittil ble gjort i 2003 like ved et veksthus i Oslo. Kan spre seg p&#229; friland sommertid med planter eller p&#229; egen h&#229;nd, men liten sannsynlighet for overlevelse gjennom vinteren."
FA3/N/2921	Cryptomeria japonica	skjermgran	105188	escape	botanicalGardenZooAquarium	introduction	rarerThan10years	unknown	ongoing	
FA3/N/2921	Cryptomeria japonica	skjermgran	105188	escape	otherUnknownEscape	introduction	rarerThan10years	unknown	ongoing	Funnet i beitemark, uvisst om spredt fra forstlig eller hortikulturell plantning.
FA3/N/2493	Cryptonemia hibernica		84987	stowaway	hitchhikersShip	introduction	unknown	unknown	future	"Arta veks p&#229; mange ulike substrat og kan difor spreiast som p&#229;vekst p&#229; skip til Norge"
FA3/N/2493	Cryptonemia hibernica		84987	stowaway	fishingEquipment	introduction	unknown	unknown	future	"Arta kan veksa p&#229; akvakulturstrukturar og spreiast p&#229; denne m&#229;ten"
FA3/N/2493	Cryptonemia hibernica		84987	unaided	naturalDispersalAcrossBorders	introduction	unknown	unknown	future	
FA3/N/2477	Cryptophagus acutangulus		7561	unaided	naturalDispersalAcrossBorders	spread	numerousYearly	unknown	ongoing	
FA3/N/331	Cryptophagus cellaris		7563	contaminant	transportationOfHabitatMaterial	introduction	unknown	unknown	unknown	ingen kunnskap
FA3/N/332	Cryptophagus subfumatus		7598	contaminant	transportationOfHabitatMaterial	introduction	unknown	unknown	unknown	Ingen kunnskap
FA3/N/3263	Cryptophilus propinquus		140456	contaminant	contaminantNurseryMaterial	introduction	unknown	unknown	ongoing	
FA3/N/3263	Cryptophilus propinquus		140456	unaided	naturalDispersalAcrossBorders	spread	numerousYearly	unknown	ongoing	
FA3/N/333	Cryptopleurum subtile		10917	unaided	naturalDispersalAcrossBorders	introduction	numerousYearly	unknown	ongoing	
FA3/N/333	Cryptopleurum subtile		10917	unaided	naturalDispersalAcrossBorders	spread	numerousYearly	unknown	ongoing	
FA3/N/968	Cryptops parisi	veksthusskolopender	31551	contaminant	contaminantOnPlants	spread	unknown	unknown	ongoing	
FA3/N/968	Cryptops parisi	veksthusskolopender	31551	contaminant	contaminantNurseryMaterial	spread	unknown	unknown	ongoing	
FA3/N/968	Cryptops parisi	veksthusskolopender	31551	contaminant	transportationOfHabitatMaterial	spread	unknown	unknown	ongoing	
FA3/N/968	Cryptops parisi	veksthusskolopender	31551	contaminant	contaminantOnPlants	introduction	unknown	unknown	ongoing	
FA3/N/3094	Cryptostroma corticale		140784	unaided	naturalDispersalAcrossBorders	introduction	unknown	unknown	future	
FA3/N/3047	Ctenolabrus rupestris	bergnebb	26491	unaided	naturalDispersalAcrossBorders	spread	unknown	unknown	ongoing	"p&#229;g&#229;ende eller kun i fremtiden?"
FA3/N/3047	Ctenolabrus rupestris	bergnebb	26491	escape	aquaculture	spread	unknown	unknown	ongoing	"p&#229;g&#229;ende eller kun i fremtiden?"
FA3/N/1619	Culaea inconstans	bekkestingsild	85466	escape	liveFoodLiveBait	introduction	unknown	unknown	future	"Bekkestingsild kan potensielt f&#248;res inn i Norge for bruk som levende agn, selv om dette er usannsynlig."
FA3/N/1619	Culaea inconstans	bekkestingsild	85466	escape	petAquariumTerrariumSpecies	introduction	unknown	unknown	future	Bekkestingsild kan eventuelt bli brukt som akvariefisk.
FA3/N/1619	Culaea inconstans	bekkestingsild	85466	escape	aquaculture	introduction	unknown	unknown	future	Bekkestingsild kan eventuelt brukes i hagedam (men ikke lov).
FA3/N/260	Culex pipiens	liten husmygg	18628	stowaway	peopleAndLuggage	introduction	severalPr10years	11to100	ongoing	
FA3/N/260	Culex pipiens	liten husmygg	18628	stowaway	containerBulk	introduction	severalPr10years	11to100	ongoing	
FA3/N/260	Culex pipiens	liten husmygg	18628	unaided	naturalDispersalAcrossBorders	spread	numerousYearly	unknown	ongoing	
FA3/N/742	Cupressus nootkatensis	nutkasypress	141526	escape	horticulture	introduction	rarerThan10years	unknown	ongoing	
FA3/N/742	Cupressus nootkatensis	nutkasypress	141526	escape	ornamentalPurposeOther	introduction	rarerThan10years	unknown	ongoing	
FA3/N/2922	Cyanus cheiranthifolius		105604	escape	horticulture	introduction	rarerThan10years	unknown	ongoing	
FA3/N/668	Cyanus cyanoides	tyrkerkornblom	105605	contaminant	otherUnknownContaminant	introduction	rarerThan10years	unknown	historic	Forurensning med tyrkisk krommalm.
FA3/N/673	Cyanus montanus	honningknoppurt	132106	escape	horticulture	introduction	numerousYearly	unknown	ongoing	
FA3/N/673	Cyanus montanus	honningknoppurt	132106	stowaway	vehicles	spread	numerousYearly	unknown	ongoing	"S&#230;rlig effektiv spredning langs veier og jernbaner."
FA3/N/673	Cyanus montanus	honningknoppurt	132106	unaided	naturalDispersalAcrossBorders	spread	numerousYearly	unknown	ongoing	
FA3/N/673	Cyanus montanus	honningknoppurt	132106	escape	otherEscape	introduction	numerousYearly	unknown	ongoing	Utkast fra hager.
FA3/N/673	Cyanus montanus	honningknoppurt	132106	contaminant	transportationOfHabitatMaterial	spread	yearly	unknown	ongoing	Forflytning av jordmasser.
FA3/N/679	Cyanus triumfettii	fløyelsknoppurt	132108	escape	horticulture	introduction	severalPr10years	unknown	ongoing	
FA3/N/679	Cyanus triumfettii	fløyelsknoppurt	132108	escape	otherEscape	introduction	severalPr10years	unknown	ongoing	Utkast fra hager.
FA3/N/889	Cyclospermum leptophyllum	mølleselleri	132110	contaminant	seedContaminant	introduction	rarerThan10years	unknown	historic	
FA3/N/889	Cyclospermum leptophyllum	mølleselleri	132110	contaminant	timberTrade	introduction	rarerThan10years	unknown	ongoing	
FA3/N/1169	Cygnus atratus	svartsvane	3469	unaided	naturalDispersalAcrossBorders	introduction	unknown	unknown	unknown	"Frittflyvende individer i Norge har trolig kommet fra etablerte hekkebestander lengre s&#248;r i Europa."
FA3/N/969	Cylindroiulus truncorum	brunkeisertusenbein	31519	contaminant	timberTrade	introduction	unknown	unknown	ongoing	"Lokaliteten de norske dyrene er funnet p&#229; er sterkt influert av importert t&#248;mmer."
FA3/N/890	Cymbalaria muralis	murtorskemunn	132111	escape	horticulture	introduction	numerousYearly	unknown	ongoing	
FA3/N/890	Cymbalaria muralis	murtorskemunn	132111	stowaway	ballastWater	introduction	severalPr10years	unknown	historic	
FA3/N/890	Cymbalaria muralis	murtorskemunn	132111	unaided	naturalDispersalAcrossBorders	spread	numerousYearly	unknown	ongoing	
FA3/N/24	Cyprinus carpio	karpe	26111	release	fishery	introduction	unknown	unknown	unknown	Karpe ble trolig i like stor grad utsatt til fiske som oppdrettsfisk
FA3/N/24	Cyprinus carpio	karpe	26111	escape	aquaculture	spread	unknown	unknown	unknown	"Det har trolig v&#230;rt til dels betydelig oppdrett av karpe tidligere i flere europeiske land, og at fisk har r&#248;mt fra disse anleggene"
FA3/N/24	Cyprinus carpio	karpe	26111	unaided	naturalDispersalAcrossBorders	spread	unknown	unknown	unknown	"Egenspredning gjelder sekund&#230;rspredning; alts&#229; spredning fra lokaliteter hvor de ble satt ut"
FA3/N/897	Cytisus ×praecox	vårgyvel	132141	escape	horticulture	introduction	rarerThan10years	unknown	ongoing	
FA3/N/899	Cytisus scoparius	gyvel	132142	escape	horticulture	introduction	numerousYearly	unknown	ongoing	
FA3/N/899	Cytisus scoparius	gyvel	132142	escape	ornamentalPurposeOther	introduction	numerousYearly	unknown	ongoing	
FA3/N/899	Cytisus scoparius	gyvel	132142	unaided	naturalDispersalAcrossBorders	spread	numerousYearly	unknown	ongoing	
