Id	kingdom	phylum	class	order	family	name	Author	navn	TaxonId	Ekspertgruppe	Vurderingskategori	Invasjonspotensiale_nivaa	Invasjonspotensiale_usikkerhet_ned	Invasjonspotensiale_usikkerhet_opp	oekologisk_effekt_nivaa	oekologisk_effekt_usikkerhet_ned	oekologisk_effekt_usikkerhet_opp	Risikonivaa	Utslagsgivende_kriterier	Risikonivaa_2012	Invasjonspotensialenivaa_2012	oekologisk_effektnivaa_2012	Foerst_observert	Foerst_observert2	Livsmiljoe	Parasitt	Kom_til_vurderingsomraadet_fra	Norsk_bestand_aar	Norsk_bestand_sted	Generasjonstid	Seksuell_reproduksjon	Aseksuell_reproduksjon	Import	Arten_finnes_i_foelgende_fylker_omraader	Forekomstareal	Forekomstareal_moerketall	Forekomstareal_total	Utbredelsesomraade	Potensielt_forekomstareal	Andel_i_sterkt_endra_natur	Naturlig_utbredelse	Naturlig_utbredelse_marint	Naavaerende_utbredelse	Naavaerende_utbredelse_marint	A	A_usikker_opp	A_usikker_ned	B	B_usikker_opp	B_usikker_ned	B_ekspansjonshastighet	C	C_usikker_opp	C_usikker_ned	C_koloniserte_naturtyper	D	D_usikker_opp	D_usikker_ned	D_trua_arter_noekkelarter	D_naturtyper	E	E_usikker_opp	E_usikker_ned	E_andre_arter_noekkelarter	E_naturtyper	F	F_usikker_opp	F_usikker_ned	F_Truete_sjeldne_naturtyper	G	G_usikker_opp	G_usikker_ned	G_oevrige_naturtyper	H	H_usikker_opp	H_usikker_ned	H_Overfoering_av_genetisk_materiale_til_stedegne_arter_Antall_arter	I	I_usikker_opp	I_usikker_ned	I_Overfoering_av_parasitter_patogener_til_stedegne_arter_Antall_arter
FA3/N/3160	Animalia	Arthropoda	Insecta	Lepidoptera	Crambidae	Diplopseustis perieresalis	(Walker, 1859)		140983	Ikke-marine invertebrater	NotApplicablecanNotEstablishWithin50years									0	0	0																																																											
FA3/N/3164	Animalia	Arthropoda	Insecta	Lepidoptera	Praydidae	Prays citri	(Millière, 1873)		140987	Ikke-marine invertebrater	NotApplicablecanNotEstablishWithin50years									0	0	0																																																											
FA3/N/3163	Animalia	Arthropoda	Insecta	Lepidoptera	Praydidae	Prays oleae	(Bernard, 1788)		140986	Ikke-marine invertebrater	NotApplicablecanNotEstablishWithin50years									0	0	0																																																											
FA3/N/3162	Animalia	Arthropoda	Insecta	Lepidoptera	Yponomeutidae	Zelleria oleastrella	(Millière, 1864)		140985	Ikke-marine invertebrater	NotApplicablecanNotEstablishWithin50years									0	0	0																																																											
FA3/N/3168	Animalia	Arthropoda	Insecta	Hemiptera	Miridae	Deraeocoris flavilinea	(A. Costa, 1862)		140991	Ikke-marine invertebrater	DoorKnockernoRiskAssessment									0	0	0			terrestrial		origin			1	V										subtropic_mediterranean:Europe		temperate_nemoral:Europe|subtropic_mediterranean:Europe																																						
FA3/N/2768	Animalia	Arthropoda	Insecta	Lepidoptera	Pyralidae	Corcyra cephalonica	(Stainton)		87817	Ikke-marine invertebrater	NotApplicablecanNotEstablishWithin50years									0	0	0	1981	1981			unknown			1																																																			
FA3/N/2773	Animalia	Arthropoda	Insecta	Lepidoptera	Gelechiidae	Sitotroga cerealella	(Olivier)		87815	Ikke-marine invertebrater	NotApplicablecanNotEstablishWithin50years									0	0	0	1990-1999	1999			unknown			1																																																			
FA3/N/3166	Animalia	Arthropoda	Insecta	Hemiptera	Miridae	Closterotomus trivialis	(A. Costa, 1853)		140955	Ikke-marine invertebrater	DoorKnockernoRiskAssessment									0	0	0			terrestrial					1	V										subtropic_mediterranean:Europe		temperate_nemoral:Europe|subtropic_mediterranean:Europe																																						
FA3/N/3167	Animalia	Arthropoda	Insecta	Hemiptera	Plataspidae	Coptosoma scutellatum	(Geoffroy, 1785)		140990	Ikke-marine invertebrater	DoorKnockernoRiskAssessment									0	0	0			terrestrial		other			1	V										temperate_nemoral:Europe,Asia|subtropic_mediterranean:Europe,Africa|subtropic_humid:Asia		temperate_nemoral:Europe,Asia|subtropic_mediterranean:Europe,Africa|subtropic_humid:Asia																																						
FA3/N/3250	Animalia	Arthropoda	Insecta	Coleoptera	Malachiidae	Anthocomus equestris	(Fabricius, 1781)		7219	Ikke-marine invertebrater	NotApplicablecanNotEstablishWithin50years									0	0	0																																																											
FA3/N/3045	Animalia	Arthropoda	Insecta	Coleoptera	Dermestidae	Anthrenocerus australis	(Hope, 1843)		139964	Ikke-marine invertebrater	NotApplicablecanNotEstablishWithin50years									0	0	0	2010-	2010																																																									
FA3/N/2203	Animalia	Arthropoda	Insecta	Coleoptera	Dermestidae	Anthrenus olgae	Kalik, 1946		6137	Ikke-marine invertebrater	NotApplicablecanNotEstablishWithin50years									0	0	0	1990-1999	1999			other			1																																																			
FA3/N/2204	Animalia	Arthropoda	Insecta	Coleoptera	Anthribidae	Araecerus fasciculatus	(De Geer, 1775)		8098	Ikke-marine invertebrater	NotApplicablecanNotEstablishWithin50years									0	0	0	1900-1949	1949			unknown			1	V																																																		
FA3/N/3252	Animalia	Arthropoda	Insecta	Coleoptera	Cryptophagidae	Atomaria scutellaris	Motschulsky, 1849		7534	Ikke-marine invertebrater	DoorKnockernoRiskAssessment									0	0	0	2010-	2010																																																									
FA3/N/3059	Animalia	Arthropoda	Insecta	Hymenoptera	Formicidae	Brachymyrmex patagonicus	Mayr, 1868		118136	Ikke-marine invertebrater	NotApplicablecanNotEstablishWithin50years									0	0	0	2000-2009	2009																																																									
FA3/N/3268	Animalia	Arthropoda	Insecta	Coleoptera	Tenebrionidae	Boromorphus italicus	Gardini, 2010		141311	Ikke-marine invertebrater	NotApplicablecanNotEstablishWithin50years									0	0	0																																																											
FA3/S/119	Animalia	Arthropoda	Malacostraca	Amphipoda	Caprellidae	Caprella mutica	Schurin, 1935		1784	Marine invertebrater (Svalbard)	DoorKnockerdoRiskAssessment	3			1		V	2	3A,1	0	0	0			marine					1	V				0		0	0	50			StilleNord		StilleNord,StilleTropic,StilleSor,AtlantNordOst,AtlantSor,AtlantNordVest	4			2			100	1			M1,M2,M3,M4,M7,M14-1,M14-2,M14-3	1					1	X			M1,M2,M3,M4,M7,M14-1,M14-2,M14-3	1				1			M1,M2,M3,M4,M7,M14-1,M14-2,M14-3	1			0	1			0
FA3/N/3346	Animalia	Arthropoda	Insecta	Hemiptera	Cicadellidae	Zonocyba bifasciata	(Boheman, 1851)		70337	Ikke-marine invertebrater	NotApplicablenotAlienSpecie									0	0	0	2010-	2010	terrestrial			2013	Moss, Jeløya												temperate_nemoral:Europe																																								
FA3/N/3347	Animalia	Arthropoda	Insecta	Hemiptera	Rhopalidae	Liorhyssus hyalinus	(Fabricius, 1794)		69660	Ikke-marine invertebrater	DoorKnockernoRiskAssessment									0	0	0																																																											
FA3/N/3175	Plantae	Magnoliophyta	Eudicots	Boraginales	Boraginaceae	Echium creticum	L.		140819	Karplanter	NotApplicablecanNotEstablishWithin50years									0	0	0	1946	1946	terrestrial		unknown			2	V										subtropic_mediterranean:Europe,Asia,Africa		subtropic_mediterranean:Europe,Asia,Africa																																						
FA3/N/3017	Animalia	Arthropoda	Insecta	Coleoptera	Staphylinidae	Brundinia meridionalis	(Mulsant & Rey, 1853)		11654	Ikke-marine invertebrater	DoorKnockernoRiskAssessment									0	0	0	2010-	2010	terrestrial					1	V		3		0		0		20		temperate_nemoral:Europe		temperate_nemoral:Europe																																						
FA3/N/2208	Animalia	Arthropoda	Insecta	Coleoptera	Chrysomelidae	Callosobruchus chinensis	(Linnaeus, 1758)		6800	Ikke-marine invertebrater	NotApplicablecanNotEstablishWithin50years									0	0	0	1980-1989	1989						1	V																																																		
FA3/N/2209	Animalia	Arthropoda	Insecta	Coleoptera	Chrysomelidae	Callosobruchus maculatus	(Fabricius, 1775)		6801	Ikke-marine invertebrater	NotApplicablecanNotEstablishWithin50years									0	0	0	1980-1989	1989						1	V																																																		
FA3/N/3253	Animalia	Arthropoda	Insecta	Coleoptera	Chrysomelidae	Callosobruchus rhodesianus	(Pic, 1902)		139763	Ikke-marine invertebrater	NotApplicablecanNotEstablishWithin50years									0	0	0	2010-	2010																																																									
FA3/N/3247	Animalia	Arthropoda	Insecta	Coleoptera	Clambidae	Calyptomerus dubius	(Marsham, 1802)		10405	Ikke-marine invertebrater	AlienSpecie	3			1			2	3AB,1	0	0	0	Vet ikke		terrestrial		unknown			1	V		2	Ro	4	50	200		500	90	temperate_nemoral:Europe|temperate_dry:Europe		temperate_nemoral:Europe|temperate_dry:Europe		3			3			201.96	1			TS-T10,T40	1					1					1				1				1			0	1			0
FA3/N/3070	Animalia	Arthropoda	Insecta	Hymenoptera	Formicidae	Camponotus brevis	Forel, 1899		113132	Ikke-marine invertebrater	NotApplicablecanNotEstablishWithin50years									0	0	0	2010-	2010																																																									
FA3/N/3069	Animalia	Arthropoda	Insecta	Hymenoptera	Formicidae	Camponotus thoracicus	(Fabricius, 1804)		113133	Ikke-marine invertebrater	NotApplicablecanNotEstablishWithin50years									0	0	0	1900-1949	1949																																																									
FA3/N/3068	Animalia	Arthropoda	Insecta	Hymenoptera	Formicidae	Camponotus ustus	Forel, 1879		113131	Ikke-marine invertebrater	NotApplicablecanNotEstablishWithin50years									0	0	0	2010-	2010																																																									
FA3/N/2210	Animalia	Arthropoda	Insecta	Coleoptera	Nitidulidae	Carpophilus dimidiatus	(Fabricius, 1792)		7855	Ikke-marine invertebrater	NotApplicablecanNotEstablishWithin50years									0	0	0	1900-1949	1949			other			1	V																																																		
FA3/N/2211	Animalia	Arthropoda	Insecta	Coleoptera	Nitidulidae	Carpophilus ligneus	Murray, 1864		7857	Ikke-marine invertebrater	NotApplicablecanNotEstablishWithin50years									0	0	0	1960-1969	1969			unknown			1	V																																																		
FA3/N/3240	Animalia	Arthropoda	Insecta	Coleoptera	Cantharidae	Cratosilis denticollis	(Schummel, 1844)		140448	Ikke-marine invertebrater	NotApplicablecanNotEstablishWithin50years									0	0	0																																																											
FA3/N/2472	Animalia	Arthropoda	Insecta	Coleoptera	Erotylidae	Cryptophilus obliteratus	Reitter, 1878		7659	Ikke-marine invertebrater	DoorKnockernoRiskAssessment									0	0	0								1	V																																																		
FA3/N/3263	Animalia	Arthropoda	Insecta	Coleoptera	Erotylidae	Cryptophilus propinquus	Reitter, 1874		140456	Ikke-marine invertebrater	AlienSpecie	4			1			3	4A,1	0	0	0	2010-	2010	terrestrial		unknown			1	V		1	OsA	4	25	100	0	1000	100	unknown:Europe		temperate_boreal:Europe|temperate_nemoral:Europe		4			3			289.43	1			TS-T10,T42	1					1					1				1				1			0	1			0
FA3/N/2479	Animalia	Arthropoda	Insecta	Coleoptera	Latridiidae	Dienerella ruficollis	(Marsham, 1802)		7787	Ikke-marine invertebrater	NotApplicablenotAlienSpecie									0	0	0	1900-1949	1949			unknown	1900-1949	Stavanger	1	V																																																		
FA3/N/3260	Animalia	Arthropoda	Insecta	Coleoptera	Endomychidae	Holoparamecus niger	Aubé, 1843		140450	Ikke-marine invertebrater	NotApplicablecanNotEstablishWithin50years									0	0	0	2010-	2010																																																									
FA3/N/2497	Animalia	Arthropoda	Insecta	Hymenoptera	Bethylidae	Laelius pedatus	(Say, 1836)		77241	Ikke-marine invertebrater	NotApplicablecanNotEstablishWithin50years									0	0	0	2000-2009	2009			unknown			1	V																																																		
FA3/N/3082	Animalia	Arthropoda	Insecta	Hymenoptera	Formicidae	Linepithema angulatum	(Emery, 1894)		113548	Ikke-marine invertebrater	NotApplicablecanNotEstablishWithin50years									0	0	0	2010-	2010																																																									
FA3/N/3081	Animalia	Arthropoda	Insecta	Hymenoptera	Formicidae	Lepisiota frauenfeldi	(Mayr, 1855)		114558	Ikke-marine invertebrater	NotApplicablecanNotEstablishWithin50years									0	0	0	1900-1949	1949																																																									
FA3/N/3065	Animalia	Arthropoda	Insecta	Hymenoptera	Formicidae	Lepisiota incisa	(Forel, 1913)		139720	Ikke-marine invertebrater	NotApplicablecanNotEstablishWithin50years									0	0	0	2010-	2010																																																									
FA3/N/2779	Animalia	Arthropoda	Insecta	Coleoptera	Zopheridae	Lasconotus jelskii	(Wankowicz, 1867)		9821	Ikke-marine invertebrater	NotApplicablenotAlienSpecie									0	0	0	2000-2009	2009			origin			1																																																			
FA3/N/3241	Animalia	Arthropoda	Insecta	Coleoptera	Staphylinidae	Meotica marchica	Benick, 1953		140444	Ikke-marine invertebrater	DoorKnockernoRiskAssessment									0	0	0																																																											
FA3/N/3259	Animalia	Arthropoda	Insecta	Coleoptera	Latridiidae	Melanophthalma fuscipennis	(Mannerheim, 1844)		140449	Ikke-marine invertebrater	NotApplicablecanNotEstablishWithin50years									0	0	0	2010-	2010																																																									
FA3/N/3083	Animalia	Arthropoda	Insecta	Hymenoptera	Formicidae	Nylanderia steinheili	(Forel, 1893)		113546	Ikke-marine invertebrater	NotApplicablecanNotEstablishWithin50years									0	0	0	2010-	2010																																																									
FA3/N/3084	Animalia	Arthropoda	Insecta	Hymenoptera	Formicidae	Nylanderia vividula	(Nylander, 1846)		118130	Ikke-marine invertebrater	NotApplicablecanNotEstablishWithin50years									0	0	0	2000-2009	2009																																																									
FA3/N/3242	Animalia	Arthropoda	Insecta	Coleoptera	Staphylinidae	Oligota granaria	Erichson, 1837		11867	Ikke-marine invertebrater	DoorKnockernoRiskAssessment									0	0	0																																																											
FA3/N/3251	Animalia	Arthropoda	Insecta	Coleoptera	Corylophidae	Orthoperus nigrescens	Stephens, 1829		7463	Ikke-marine invertebrater	DoorKnockernoRiskAssessment									0	0	0	2010-	2010																																																									
FA3/N/3285	Animalia	Arthropoda	Insecta	Coleoptera	Curculionidae	Otiorhynchus armatus	Boheman, 1843		8746	Ikke-marine invertebrater	DoorKnockernoRiskAssessment									0	0	0			terrestrial							V									subtropic_mediterranean:Europe		temperate_nemoral:Europe|subtropic_mediterranean:Europe																																						
FA3/N/2628	Animalia	Arthropoda	Insecta	Coleoptera	Curculionidae	Otiorhynchus corruptor	(Host, 1789)		85812	Ikke-marine invertebrater	NotApplicablecanNotEstablishWithin50years									0	0	0	2000-2009	2009						1		V																																																	
FA3/N/3287	Animalia	Arthropoda	Insecta	Coleoptera	Curculionidae	Pantomorus cervinus	(Boheman, 1840)		8719	Ikke-marine invertebrater	DoorKnockernoRiskAssessment									0	0	0																																																											
FA3/N/2218	Animalia	Arthropoda	Insecta	Coleoptera	Tenebrionidae	Palorus subdepressus	(Wollaston, 1864)		9762	Ikke-marine invertebrater	NotApplicablecanNotEstablishWithin50years									0	0	0	1980-1989	1989			unknown			1	V																																																		
FA3/N/3235	Animalia	Arthropoda	Insecta	Hymenoptera	Formicidae	Pheidole bilimeki	Mayr, 1870		77405	Ikke-marine invertebrater	NotApplicablecanNotEstablishWithin50years									0	0	0	1900-1949	1949																																																									
FA3/N/3086	Animalia	Arthropoda	Insecta	Hymenoptera	Formicidae	Pheidole flavens	Roger, 1863		118229	Ikke-marine invertebrater	NotApplicablecanNotEstablishWithin50years									0	0	0	2010-	2010																																																									
FA3/N/3051	Animalia	Arthropoda	Insecta	Hymenoptera	Formicidae	Plagiolepis pygmaea	(Latreille, 1798)		118135	Ikke-marine invertebrater	NotApplicablecanNotEstablishWithin50years									0	0	0	2000-2009	2009																																																									
FA3/N/2232	Animalia	Arthropoda	Insecta	Coleoptera	Cerambycidae	Plagionotus detritus	(Linnaeus, 1758)		6345	Ikke-marine invertebrater	NotApplicablecanNotEstablishWithin50years									0	0	0					unknown			1	V																																																		
FA3/N/3052	Animalia	Arthropoda	Insecta	Hymenoptera	Formicidae	Plagiolepis vindobonensis	Lomnicki, 1925		139766	Ikke-marine invertebrater	NotApplicablecanNotEstablishWithin50years									0	0	0	2010-	2010																																																									
FA3/N/2228	Animalia	Arthropoda	Insecta	Coleoptera	Ptilodactylidae	Ptilodactyla exotica	Chapin, 1927		10029	Ikke-marine invertebrater	NotApplicablecanNotEstablishWithin50years									0	0	0	1990-1999	1999			unknown			1	V																																																		
FA3/N/3053	Animalia	Arthropoda	Insecta	Hymenoptera	Formicidae	Ponera testacea	Emery, 1895		139800	Ikke-marine invertebrater	NotApplicablecanNotEstablishWithin50years									0	0	0	2010-	2010																																																									
FA3/N/2217	Animalia	Arthropoda	Insecta	Coleoptera	Tenebrionidae	Palorus ratzeburgii	(Wissmann, 1848)		9761	Ikke-marine invertebrater	NotApplicablecanNotEstablishWithin50years									0	0	0	1960-1969	1969			unknown			1	V																																																		
FA3/N/3246	Animalia	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Pleurophorus caesus	(Creutzer, 1796)		10560	Ikke-marine invertebrater	DoorKnockernoRiskAssessment									0	0	0	2010-	2010																																																									
FA3/N/3243	Animalia	Arthropoda	Insecta	Coleoptera	Staphylinidae	Platystethus degener	Mulsant & Rey, 1878		140445	Ikke-marine invertebrater	DoorKnockerdoRiskAssessment	2			1			2	2AB,1	0	0	0	2010-	2010	terrestrial		other			1	V		1		0		0		200		temperate_nemoral:Europe|temperate_dry:Europe|subtropic_unspecified:Europe,Asia|subtropic_mediterranean:Europe,Asia		temperate_nemoral:Europe,NorthAndCentralAmerica|temperate_dry:Europe,NorthAndCentralAmerica|subtropic_unspecified:Europe,Asia|subtropic_mediterranean:Europe,Asia		2			2			50	1			TS-T10,T18	1					1					1				1				1			0	1			0
FA3/N/2781	Animalia	Arthropoda	Insecta	Coleoptera	Ptinidae	Ptinus villiger	(Reitter, 1884)		6265	Ikke-marine invertebrater	NotApplicablenotAlienSpecie									0	0	0	-1800	1800			unknown			1																																																			
FA3/N/2780	Animalia	Arthropoda	Insecta	Coleoptera	Ptinidae	Ptinus raptor	Sturm, 1837		6260	Ikke-marine invertebrater	NotApplicablenotAlienSpecie									0	0	0	-1800	1800			unknown			1																																																			
FA3/N/3244	Animalia	Arthropoda	Insecta	Coleoptera	Staphylinidae	Rabigus pullus	(Nordmann, 1837)		140446	Ikke-marine invertebrater	DoorKnockernoRiskAssessment									0	0	0	2010-	2010																																																									
FA3/N/3245	Animalia	Arthropoda	Insecta	Coleoptera	Staphylinidae	Scopaeus ryei	Wollaston, 1872		12470	Ikke-marine invertebrater	DoorKnockernoRiskAssessment									0	0	0																																																											
FA3/N/3087	Animalia	Arthropoda	Insecta	Hymenoptera	Formicidae	Solenopsis saudiensis	Sharaf & Aldawood, 2011		139719	Ikke-marine invertebrater	NotApplicablecanNotEstablishWithin50years									0	0	0																																																											
FA3/N/3088	Animalia	Arthropoda	Insecta	Hymenoptera	Formicidae	Strumigenys rogeri	Emery, 1890		113544	Ikke-marine invertebrater	NotApplicablecanNotEstablishWithin50years									0	0	0	2010-	2010																																																									
FA3/N/3044	Animalia	Arthropoda	Insecta	Coleoptera	Cerambycidae	Stenhomalus taiwanus	Matsushita, 1933		139762	Ikke-marine invertebrater	NotApplicablecanNotEstablishWithin50years									0	0	0																																																											
FA3/N/3237	Animalia	Arthropoda	Insecta	Coleoptera	Cerambycidae	Stromatium auratum	(Böber, 1973)		141275	Ikke-marine invertebrater	NotApplicablecanNotEstablishWithin50years									0	0	0																																																											
FA3/N/3057	Animalia	Arthropoda	Insecta	Hymenoptera	Formicidae	Strumigenys membranifera	Emery, 1869		139767	Ikke-marine invertebrater	NotApplicablecanNotEstablishWithin50years									0	0	0	2010-	2010																																																									
FA3/N/3262	Animalia	Arthropoda	Insecta	Coleoptera	Scraptiidae	Trotomma pubescens	Kiesenwetter, 1851		140461	Ikke-marine invertebrater	NotApplicablecanNotEstablishWithin50years									0	0	0	2010-	2010																																																									
FA3/N/3261	Animalia	Arthropoda	Insecta	Coleoptera	Erotylidae	Toramus pulchellus	LeConte, 1863		140453	Ikke-marine invertebrater	NotApplicablenotAlienSpecie									0	0	0																																																											
FA3/N/3079	Animalia	Arthropoda	Insecta	Hymenoptera	Formicidae	Tapinoma magnum	Mayr, 1861		104096	Ikke-marine invertebrater	NotApplicablecanNotEstablishWithin50years									0	0	0	2010-	2010																																																									
FA3/N/3058	Animalia	Arthropoda	Insecta	Hymenoptera	Formicidae	Tetramorium semilaeve	André, 1883		113130	Ikke-marine invertebrater	NotApplicablecanNotEstablishWithin50years									0	0	0	2010-	2010																																																									
FA3/N/2509	Animalia	Arthropoda	Insecta	Hymenoptera	Formicidae	Tetramorium bicarinatum	(Nylander, 1846)		77410	Ikke-marine invertebrater	NotApplicablecanNotEstablishWithin50years									0	0	0	Vet ikke				unknown			1	V																																																		
FA3/N/3359	Animalia	Arthropoda	Insecta	Hemiptera	Lygaeidae	Nysius senecionis	(Schilling, 1829)		141515	Ikke-marine invertebrater	DoorKnockernoRiskAssessment									0	0	0																																																											
FA3/N/3361	Animalia	Arthropoda	Insecta	Hemiptera	Miridae	Reuteria marqueti	Puton, 1875		141518	Ikke-marine invertebrater	DoorKnockernoRiskAssessment									0	0	0																																																											
FA3/S/120	Animalia	Arthropoda	Malacostraca	Amphipoda	Ischyroceridae	Ischyrocerus commensalis	Chevreux, 1900		1970	Marine invertebrater (Svalbard)	DoorKnockerdoRiskAssessment	4	V		2			4	4AB,2E	0	0	0			marine	V				1	V								50			AtlantNordVest,StilleNord		StilleNord,AtlantNordOst,AtlantNordVest	4		X	4		X	1920	1			M4,M2,M1	1					2				M4,M2,M1,M1,M2,M1	1				1			M4,M2,M1	1			0	1			0
FA3/S/117	Animalia	Ectoprocta	Gymnolaemata	Cheilostomata	Schizoporellidae	Schizoporella japonica	Ortmann, 1890		113606	Marine invertebrater (Svalbard)	DoorKnockerdoRiskAssessment	3			2		V	2	3B,2E	0	0	0			marine					1	V								50			StilleNord		StilleNord,AtlantNordOst	2			4		X	3500	1			M1,M3	1					2	X			M1,M3	1				1			M1,M3	1			0	1			0
FA3/S/104	Animalia	Arthropoda	Maxillopoda	Calanoida	Acartiidae	Acartia tonsa			85402	Marine invertebrater (Svalbard)	DoorKnockerdoRiskAssessment	3	V		1		V	2	3A,1	0	0	0			marine		unknown			1	V				0		0	0	50			AtlantNordVest,StilleNord		AtlantNordVest,AtlantNordOst,AtlantTropic,AtlantSor,Osters,Middel,BlackSea,CaspianSea,StilleNord,StilleTropic,StilleSor,IndianOTropic,IndianOSouth	3			2		X	128	1			H2-8,H2-7	1					1	X			H2-8,H2-7	1				1			H2-8,H2-7	1			0	1			0
FA3/S/103	Animalia	Arthropoda	Maxillopoda	Sessilia	Austrobalanidae	Austrominius modestus	(Darwin, 1854)		140922	Marine invertebrater (Svalbard)	DoorKnockerdoRiskAssessment	1		V	1		V	1	1,1	0	0	0			marine					1	V								50			StilleSor,StilleTropic		AtlantNordOst,Middel,StilleSor	2	X		1	X		0	1			M1,M3,M10-1,M10-4	1					1	X			M1,M1,M3,M3,M10-1,M10-1,M10-4,M10-4	1				1				1			0	1			0
