"","reg","year","val","X"
"267","C",2020,0.379485648109557,"vamrmekrav"
"268","C",2020,0.449889522910018,"vamrmekrav"
"269","C",2020,0.443993711277284,"vamrmekrav"
"270","C",2020,0.366447396518217,"vamrmekrav"
"271","C",2020,0.368359692909098,"vamrmekrav"
"272","C",2020,0.425053840573706,"vamrmekrav"
"273","C",2020,0.503113787652768,"vamrmekrav"
"274","C",2020,0.414756814600408,"vamrmekrav"
"275","C",2020,0.412419859875859,"vamrmekrav"
"276","C",2020,0.465099163296285,"vamrmekrav"
"277","C",2020,0.417278834848633,"vamrmekrav"
"278","C",2020,0.394612536587761,"vamrmekrav"
"279","C",2020,0.412934299761933,"vamrmekrav"
"280","C",2020,0.419476639864694,"vamrmekrav"
"281","C",2020,0.378477195617472,"vamrmekrav"
"282","C",2020,0.411080152163365,"vamrmekrav"
"283","C",2020,0.448608717663879,"vamrmekrav"
"284","C",2020,0.369307397831661,"vamrmekrav"
"285","C",2020,0.409248215751219,"vamrmekrav"
"286","C",2020,0.463475345361918,"vamrmekrav"
"287","C",2020,0.464195168663954,"vamrmekrav"
"288","C",2020,0.443672641758837,"vamrmekrav"
"289","C",2020,0.410130461783018,"vamrmekrav"
"290","C",2020,0.382018605551962,"vamrmekrav"
"291","C",2020,0.453587129232225,"vamrmekrav"
"292","C",2020,0.387018039703976,"vamrmekrav"
"293","C",2020,0.431551979857541,"vamrmekrav"
"294","C",2020,0.393288361045818,"vamrmekrav"
"295","C",2020,0.3856816595013,"vamrmekrav"
"296","C",2020,0.459642937618697,"vamrmekrav"
"297","C",2020,0.469687019105772,"vamrmekrav"
"298","C",2020,0.452231309767058,"vamrmekrav"
"299","C",2020,0.379732708526756,"vamrmekrav"
"300","C",2020,0.489277361393434,"vamrmekrav"
"301","C",2020,0.397244157685295,"vamrmekrav"
"302","C",2020,0.407744033483131,"vamrmekrav"
"303","C",2020,0.382703785852878,"vamrmekrav"
"304","C",2020,0.429932481947066,"vamrmekrav"
"305","C",2020,0.447377848313978,"vamrmekrav"
"306","C",2020,0.352493245755063,"vamrmekrav"
"307","C",2020,0.439838780736651,"vamrmekrav"
"308","C",2020,0.493247387904201,"vamrmekrav"
"309","C",2020,0.363638564629574,"vamrmekrav"
"310","C",2020,0.467924949667333,"vamrmekrav"
"311","C",2020,0.431520232218655,"vamrmekrav"
"312","C",2020,0.502473265673102,"vamrmekrav"
"313","C",2020,0.481881496568567,"vamrmekrav"
"314","C",2020,0.542687742926463,"vamrmekrav"
"315","C",2020,0.404671872793971,"vamrmekrav"
"316","C",2020,0.410123109020124,"vamrmekrav"
"317","C",2020,0.392105154972694,"vamrmekrav"
"318","C",2020,0.452520274191156,"vamrmekrav"
"319","C",2020,0.444294571182056,"vamrmekrav"
"320","C",2020,0.439723712584193,"vamrmekrav"
"321","C",2020,0.418786122008787,"vamrmekrav"
"322","C",2020,0.41226536127474,"vamrmekrav"
