"","reg","year","val"
"109","N",2019,0.86810099199509
"110","N",2019,1
"111","N",2019,0.862749965318355
"112","N",2019,0.851580688527489
"113","N",2019,0.866267159755767
"114","N",2019,0.970911872863139
"115","N",2019,0.855829518503234
"116","N",2019,0.930532267108998
"117","N",2019,0.921945980470645
"118","N",2019,0.835817115809352
"119","N",2019,0.869913711837065
"120","N",2019,0.878095304745031
"121","N",2019,1
"122","N",2019,0.989312673422973
"123","N",2019,0.892791688013978
"124","N",2019,0.976157576887131
"125","N",2019,0.90934834143471
"126","N",2019,0.923686217678677
"127","N",2019,0.84936187661704
"128","N",2019,0.957404251667056
"129","N",2019,0.951397109527216
"130","N",2019,0.942753668351366
"131","N",2019,0.899306568781121
"132","N",2019,0.977962880697499
"133","N",2019,0.880050529926879
"134","N",2019,1
"135","N",2019,0.814510289928781
"136","N",2019,0.923302821007009
"137","N",2019,0.866448929119434
"138","N",2019,0.958235553375571
"139","N",2019,0.909234422839979
"140","N",2019,0.83792097827566
"141","N",2019,0.879585101250403
"142","N",2019,0.863938739470323
"143","N",2019,0.895820052202434
"144","N",2019,0.93276795099875
"145","N",2019,0.810732271115239
"146","N",2019,0.960382964539333
"147","N",2019,0.826009350751128
"148","N",2019,0.923427473944528
"149","N",2019,0.942890778606874
"150","N",2019,0.942780655014135
"151","N",2019,0.951643490313375
"152","N",2019,0.838946832865562
"153","N",2019,0.993311967883831
"154","N",2019,0.964704960261768
"155","N",2019,0.904240530247602
"156","N",2019,0.947587950700603
"157","N",2019,0.877958927412529
"158","N",2019,0.871746332351251
"159","N",2019,0.852634920278643
"160","N",2019,0.889366658922304
"161","N",2019,0.877086628542008
"162","N",2019,0.86503981984651
"163","N",2019,0.925805082674159
"164","N",2019,0.928135280762488
"165","N",2019,0.892985766080647
"166","N",2019,0.887226658136195
"167","N",2019,0.931211531560566
"168","N",2019,0.846764627005635
"169","N",2019,0.860739506851493
"170","N",2019,0.959674318529367
"171","N",2019,0.951955501012799
"172","N",2019,0.868331552424066
"173","N",2019,0.971720959692075
"174","N",2019,0.837037579034909
"175","N",2019,0.956999188523785
"176","N",2019,0.845007468811716
"177","N",2019,0.959639240483555
"178","N",2019,0.864268448567077
"179","N",2019,0.934593100177095
"180","N",2019,0.907204476721919
"181","N",2019,1
"182","N",2019,0.824807517693139
"183","N",2019,0.915615283818966
"184","N",2019,0.890300268204095
"185","N",2019,0.950160162674891
"186","N",2019,0.882840412736292
"187","N",2019,1
"188","N",2019,0.920714847791909
"189","N",2019,1
"190","N",2019,0.893902113252033
"191","N",2019,0.901989524223237
"192","N",2019,0.907835957424367
"193","N",2019,0.830616936982324
"194","N",2019,0.886894406333695
"195","N",2019,0.913754325079012
"196","N",2019,0.832414177792595
"197","N",2019,0.849482964249067
"198","N",2019,0.918399431373686
"199","N",2019,0.892249353485365
"200","N",2019,0.950185307045763
"201","N",2019,0.90475299076959
"202","N",2019,1
"203","N",2019,0.974578387898125
"204","N",2019,0.940216896120908
"205","N",2019,0.902480623918162
"206","N",2019,0.973479560790541
"207","N",2019,0.93217766801344
"208","N",2019,0.956172692813157
"209","N",2019,0.802523276191851
"210","N",2019,0.912034187208557
"211","N",2019,0.917634791465232
"212","N",2019,0.804970604213508
"213","N",2019,0.812049671551626
"214","N",2019,0.834846928491926
"215","N",2019,0.940781004478107
"216","N",2019,0.856080995714157
"217","N",2019,0.92010065316928
"218","N",2019,0.905110554121302
"219","N",2019,0.980242503794792
"220","N",2019,0.928286480065763
"221","N",2019,0.931532176459839
"222","N",2019,0.907426728304343
"223","N",2019,0.868839700603529
"224","N",2019,0.856929549329209
"225","N",2019,0.972697502250049
"226","N",2019,0.901630490027972
"227","N",2019,0.998835648147756
"228","N",2019,0.901913463896261
"229","N",2019,1
"230","N",2019,0.921657822747973
"231","N",2019,1
"232","N",2019,0.882187933841512
"233","N",2019,1
"234","N",2019,0.90672270492517
"235","N",2019,0.931603599333427
"236","N",2019,0.902616591032441
"237","N",2019,0.838722932498256
"238","N",2019,0.93912707181032
"239","N",2019,0.942758051070927
"240","N",2019,0.878239705964447
"241","N",2019,1
"242","N",2019,0.839562348822882
"243","N",2019,0.834738423026271
"244","N",2019,0.94682247984168
"245","N",2019,0.913352556136634
"246","N",2019,0.851413036821658
"247","N",2019,0.898840454786137
"248","N",2019,0.922325714962303
"249","N",2019,0.876510824637044
"250","N",2019,0.994454244493467
"251","N",2019,0.861211522198526
"252","N",2019,0.9210529882852
"253","N",2019,0.952410838955091
"254","N",2019,0.824563554453935
"255","N",2019,0.817413260356588
"256","N",2019,0.981427782369388
"257","N",2019,0.890656920821979
"258","N",2019,0.978227914159228
"259","N",2019,1
"260","N",2019,0.969465060857423
"261","N",2019,0.879109215072508
"262","N",2019,0.910822462792708
"263","N",2019,0.906305740586631
"264","N",2019,0.846966670010986
"265","N",2019,0.958641123846725
"266","N",2019,0.891723394076287
