"","reg","val","year"
"410","C",1,2020
"411","C",1,2020
"412","C",1,2020
"413","C",1,2020
"414","C",1,2020
"415","C",1,2020
"416","C",1,2020
"417","C",1,2020
"418","C",1,2020
"419","C",1,2020
"420","C",1,2020
"421","C",0.988235294117647,2020
"422","C",1,2020
"423","C",1,2020
"424","C",1,2020
"425","C",1,2020
"426","C",1,2020
"427","C",1,2020
"428","C",1,2020
"429","C",1,2020
"430","C",1,2020
"431","C",1,2020
"432","C",1,2020
"433","C",1,2020
"434","C",1,2020
"435","C",0.988235294117647,2020
"436","C",1,2020
"437","C",1,2020
"438","C",0.988235294117647,2020
"439","C",1,2020
"440","C",1,2020
"441","C",1,2020
"442","C",1,2020
"443","C",0.988235294117647,2020
"444","C",1,2020
"445","C",1,2020
"446","C",1,2020
"447","C",1,2020
"448","C",1,2020
"449","C",1,2020
"450","C",1,2020
"451","C",1,2020
"452","C",1,2020
"453","C",1,2020
"454","C",1,2020
"455","C",1,2020
"456","C",1,2020
"457","C",1,2020
"458","C",1,2020
"459","C",1,2020
"460","C",1,2020
"461","C",1,2020
"462","C",1,2020
"463","C",1,2020
"464","C",1,2020
"465","C",1,2020
"466","C",1,2020
"467","C",1,2020
"468","C",1,2020
"469","C",0.988235294117647,2020
"470","C",1,2020
"471","C",1,2020
"472","C",1,2020
"473","C",1,2020
"474","C",1,2020
"475","C",1,2020
"476","C",1,2020
"477","C",1,2020
"478","C",1,2020
"479","C",1,2020
"480","C",1,2020
"481","C",1,2020
"482","C",1,2020
"483","C",1,2020
"484","C",1,2020
"485","C",1,2020
"486","C",1,2020
"487","C",1,2020
"488","C",1,2020
"489","C",1,2020
"490","C",1,2020
"491","C",1,2020
"492","C",1,2020
"493","C",1,2020
"494","C",1,2020
"495","C",1,2020
"496","C",1,2020
"497","C",1,2020
"498","C",1,2020
"499","C",1,2020
"500","C",1,2020
"501","C",1,2020
"502","C",1,2020
"503","C",0.988235294117647,2020
"504","C",0.988235294117647,2020
"505","C",1,2020
"506","C",1,2020
"507","C",1,2020
"508","C",1,2020
"509","C",1,2020
"510","C",1,2020
"511","C",1,2020
"512","C",1,2020
"513","C",1,2020
"514","C",1,2020
"515","C",1,2020
"516","C",0.988235294117647,2020
"517","C",1,2020
"518","C",1,2020
"519","C",1,2020
"520","C",1,2020
"521","C",1,2020
"522","C",1,2020
"523","C",1,2020
"524","C",1,2020
"525","C",1,2020
"526","C",1,2020
"527","C",0.988235294117647,2020
"528","C",1,2020
"529","C",0.988235294117647,2020
"530","C",1,2020
"531","C",1,2020
"532","C",1,2020
"533","C",1,2020
"534","C",1,2020
"535","C",1,2020
"536","C",1,2020
"537","C",1,2020
"538","C",1,2020
"539","C",1,2020
"540","C",0.988235294117647,2020
"541","C",1,2020
"542","C",0.988235294117647,2020
"543","C",1,2020
"544","C",1,2020
"545","C",1,2020
"546","C",1,2020
"547","C",1,2020
"548","C",1,2020
"549","C",1,2020
"550","C",1,2020
"551","C",1,2020
"552","C",1,2020
"553","C",1,2020
"554","C",1,2020
"555","C",0.988235294117647,2020
"556","C",1,2020
"557","C",1,2020
"558","C",1,2020
"559","C",1,2020
"560","C",1,2020
"561","C",1,2020
"562","C",1,2020
"563","C",1,2020
"564","C",1,2020
"565","C",1,2020
"566","C",1,2020
"567","C",1,2020
"568","C",1,2020
"569","C",1,2020
"570","C",1,2020
"571","C",1,2020
"572","C",1,2020
"573","C",0.988235294117647,2020
"574","C",1,2020
"575","C",0.988235294117647,2020
"576","C",1,2020
"577","C",1,2020
"578","C",1,2020
"579","C",1,2020
"580","C",0.988235294117647,2020
"581","C",1,2020
"582","C",1,2020
"583","C",1,2020
"584","C",1,2020
"585","C",1,2020
"586","C",0.988235294117647,2020
"587","C",1,2020
"588","C",1,2020
"589","C",1,2020
"590","C",1,2020
"591","C",1,2020
"592","C",0.988235294117647,2020
"593","C",1,2020
"594","C",1,2020
"595","C",1,2020
"596","C",1,2020
"597","C",1,2020
"598","C",1,2020
"599","C",1,2020
"600","C",1,2020
"601","C",1,2020
"602","C",1,2020
"603","C",1,2020
"604","C",1,2020
"605","C",1,2020
"606","C",1,2020
"607","C",0.988235294117647,2020
"608","C",1,2020
"609","C",1,2020
"610","C",1,2020
"611","C",1,2020
"612","C",1,2020
"613","C",1,2020
"614","C",1,2020
"615","C",1,2020
"616","C",1,2020
"617","C",1,2020
"618","C",1,2020
"619","C",1,2020
"620","C",1,2020
"621","C",1,2020
"622","C",0.988235294117647,2020
"623","C",1,2020
"624","C",1,2020
"625","C",1,2020
"626","C",1,2020
"627","C",1,2020
"628","C",1,2020
"629","C",1,2020
