"","reg","val","X","nCells"
"191","N",0.727174688543808,"NDVI_upper",10969
"192","N",0.731151063684297,"NDVI_upper",10969
"193","N",0.730248120127806,"NDVI_upper",10969
"194","N",0.727904748811062,"NDVI_upper",10969
"195","N",0.726332380035362,"NDVI_upper",10969
"196","N",0.729033016193382,"NDVI_upper",10969
"197","N",0.728767859555073,"NDVI_upper",10969
"198","N",0.730545298914676,"NDVI_upper",10969
"199","N",0.729634678607084,"NDVI_upper",10969
"200","N",0.730207362251699,"NDVI_upper",10969
"201","N",0.726969648366971,"NDVI_upper",10969
"202","N",0.728322521709122,"NDVI_upper",10969
"203","N",0.727339062200446,"NDVI_upper",10969
"204","N",0.729819764538743,"NDVI_upper",10969
"205","N",0.730097926334841,"NDVI_upper",10969
"206","N",0.729957942433802,"NDVI_upper",10969
"207","N",0.730580415125564,"NDVI_upper",10969
"208","N",0.728606715400075,"NDVI_upper",10969
"209","N",0.729107200702936,"NDVI_upper",10969
"210","N",0.730442260601729,"NDVI_upper",10969
"211","N",0.730174200851183,"NDVI_upper",10969
"212","N",0.72979724429789,"NDVI_upper",10969
"213","N",0.730345807190458,"NDVI_upper",10969
"214","N",0.727541695436132,"NDVI_upper",10969
"215","N",0.730089337655614,"NDVI_upper",10969
"216","N",0.728426995612177,"NDVI_upper",10969
"217","N",0.728682912282914,"NDVI_upper",10969
"218","N",0.727539016212437,"NDVI_upper",10969
"219","N",0.726032776412864,"NDVI_upper",10969
"220","N",0.730443937520372,"NDVI_upper",10969
"221","N",0.727640627218288,"NDVI_upper",10969
"222","N",0.730376406341643,"NDVI_upper",10969
"223","N",0.728547693249607,"NDVI_upper",10969
"224","N",0.731301704139328,"NDVI_upper",10969
"225","N",0.730182836281433,"NDVI_upper",10969
"226","N",0.727556651783601,"NDVI_upper",10969
"227","N",0.728639569069809,"NDVI_upper",10969
"228","N",0.730676917823592,"NDVI_upper",10969
"229","N",0.727987845729175,"NDVI_upper",10969
"230","N",0.72865260743387,"NDVI_upper",10969
"231","N",0.729839757845366,"NDVI_upper",10969
"232","N",0.73037984477013,"NDVI_upper",10969
"233","N",0.726926451948883,"NDVI_upper",10969
"234","N",0.727710382383549,"NDVI_upper",10969
"235","N",0.727019903009352,"NDVI_upper",10969
"236","N",0.729334774679868,"NDVI_upper",10969
"237","N",0.727402842629159,"NDVI_upper",10969
"238","N",0.727804877650139,"NDVI_upper",10969
"239","N",0.730675988775179,"NDVI_upper",10969
"240","N",0.72931768808395,"NDVI_upper",10969
"241","N",0.727882533411302,"NDVI_upper",10969
"242","N",0.730442288110611,"NDVI_upper",10969
"243","N",0.727017115659903,"NDVI_upper",10969
"244","N",0.728004579471995,"NDVI_upper",10969
"245","N",0.730882166374391,"NDVI_upper",10969
"246","N",0.731120904700482,"NDVI_upper",10969
