"","reg","val","plotsL1_tot","year"
"10093","C",0.968554081551844,41,2020
"10094","C",0.974755539063731,41,2020
"10095","C",0.976634219371623,41,2020
"10096","C",0.948464821924847,41,2020
"10097","C",0.965385920885841,41,2020
"10098","C",0.963295653970458,41,2020
"10099","C",0.979167522906326,41,2020
"10100","C",0.975071380424713,41,2020
"10101","C",0.963226678051971,41,2020
"10102","C",0.970039281352085,41,2020
"10103","C",0.961677740549286,41,2020
"10104","C",0.971795763153387,41,2020
"10105","C",0.971947767400493,41,2020
"10106","C",0.976952423091519,41,2020
"10107","C",0.972033890080408,41,2020
"10108","C",0.962447988141284,41,2020
"10109","C",0.963478163261456,41,2020
"10110","C",0.97755013063705,41,2020
"10111","C",0.956533479645459,41,2020
"10112","C",0.974790073792097,41,2020
"10113","C",0.969688377725781,41,2020
"10114","C",0.973331469859403,41,2020
"10115","C",0.978883514082705,41,2020
"10116","C",0.968954433178054,41,2020
"10117","C",0.965496848486219,41,2020
"10118","C",0.954793763598932,41,2020
"10119","C",0.970782173829432,41,2020
"10120","C",0.961256896911985,41,2020
"10121","C",0.976398289065788,41,2020
"10122","C",0.959863383873348,41,2020
"10123","C",0.974536742474248,41,2020
"10124","C",0.96541800186487,41,2020
"10125","C",0.960165931584117,41,2020
"10126","C",0.972013300412554,41,2020
"10127","C",0.952897041825653,41,2020
"10128","C",0.967828021271226,41,2020
"10129","C",0.975224045254773,41,2020
"10130","C",0.970853936544006,41,2020
"10131","C",0.96919137845469,41,2020
"10132","C",0.971347864101955,41,2020
"10133","C",0.970800735394528,41,2020
"10134","C",0.977600822543859,41,2020
"10135","C",0.966534572185748,41,2020
"10136","C",0.971752752349791,41,2020
"10137","C",0.966422747245615,41,2020
"10138","C",0.959066788480791,41,2020
"10139","C",0.963223972498849,41,2020
"10140","C",0.968855993196047,41,2020
"10141","C",0.966284599846481,41,2020
"10142","C",0.955427847736732,41,2020
"10143","C",0.976337061810523,41,2020
"10144","C",0.971516776630163,41,2020
"10145","C",0.970072428912211,41,2020
"10146","C",0.969906971215595,41,2020
"10147","C",0.970149867829227,41,2020
"10148","C",0.966631914491017,41,2020
"10149","C",0.967403355322821,41,2020
"10150","C",0.959083556686084,41,2020
"10151","C",0.971339661258958,41,2020
"10152","C",0.96441497007515,41,2020
"10153","C",0.972679961146429,41,2020
"10154","C",0.983044408106832,41,2020
"10155","C",0.97364935536112,41,2020
"10156","C",0.966002238467066,41,2020
"10157","C",0.957992622334592,41,2020
"10158","C",0.971744795965351,41,2020
"10159","C",0.971674673074176,41,2020
"10160","C",0.973125320778115,41,2020
"10161","C",0.962127859685375,41,2020
"10162","C",0.968209484259813,41,2020
"10163","C",0.971685018157485,41,2020
"10164","C",0.96958719697359,41,2020
"10165","C",0.955501559919975,41,2020
"10166","C",0.963206668997661,41,2020
"10167","C",0.963881771351922,41,2020
"10168","C",0.958533092536083,41,2020
