"reg","val"
"N",0.312350683483647
"N",0.306993173251465
"N",0.3127699069399
"N",0.310371852194786
"N",0.31388534256168
"N",0.314255878670892
"N",0.310413217526716
"N",0.312711795068266
"N",0.313967383339335
"N",0.315346245882286
"N",0.319812726413399
"N",0.313840061610426
"N",0.309258142087843
"N",0.314780889044932
"N",0.310692060968124
"N",0.310407406839039
"N",0.307652385078685
"N",0.309504632634347
"N",0.311204226330075
"N",0.313444836677256
"N",0.306997407552441
"N",0.309422742588888
"N",0.314376165621374
"N",0.312238995003987
"N",0.312164006240573
"N",0.315594573695382
"N",0.30637088600047
"N",0.310938029351902
"N",0.309379390463004
"N",0.318118654794823
"N",0.315517156082661
"N",0.309597750790112
"N",0.310610204740426
"N",0.308508170771367
"N",0.30904149664146
"N",0.314139388358927
"N",0.309301311913395
"N",0.313637274080703
"N",0.313449970164281
"N",0.314096286597698
"N",0.313495751217287
"N",0.313902684658395
"N",0.311942544725343
"N",0.31343099447852
"N",0.312103998733359
"N",0.310676447596613
"N",0.309078125689831
"N",0.309602805252484
"N",0.312423805495906
"N",0.313676005908194
"N",0.316159803695667
"N",0.317206500391716
"N",0.309787860741475
"N",0.308319821313889
"N",0.30993972054352
"N",0.311429084045794
"N",0.31187495479188
"N",0.309682275069859
"N",0.309711110893924
"N",0.307924944124361
"N",0.313507602663371
"N",0.315774462941452
"N",0.305310259482706
"N",0.311095236370849
"N",0.308381213021644
"N",0.30889537532388
"N",0.315171858011097
"N",0.313838131399306
"N",0.311415806883404
"N",0.310848326785677
"N",0.309486157274723
"N",0.313234195906048
"N",0.315450059656065
"N",0.307528100296634
"N",0.313768522807901
"N",0.31025972457166
"N",0.311546287809203
"N",0.310368003589914
"N",0.314579573574467
"N",0.311656773226066
"N",0.312999993772605
"N",0.314720754036018
"N",0.311013262918177
"N",0.313275697110422
"N",0.311005168190819
"N",0.315697942591357
"N",0.313749589267738
"N",0.312357418635517
"N",0.313439097325641
"N",0.317080073363659
"N",0.313815732810324
"N",0.314779022111842
"N",0.314090416850216
"N",0.317806927149632
"N",0.320074794290254
"N",0.316170926350137
"N",0.312669080712981
"N",0.31742595391956
"N",0.315159113875131
"N",0.319555221966644
"N",0.311157281561758
"N",0.313036019937929
"N",0.310756862678036
"N",0.305993711365878
"N",0.30672033172083
"N",0.310008947951294
"N",0.308976833683995
"N",0.309745667485731
"N",0.306129445377011
"N",0.310650649835382
"N",0.310291476479332
"N",0.309610757643868
"N",0.311118356271323
"N",0.308587187082459
"N",0.310597247658425
"N",0.31166200082716
"N",0.312334893872137
"N",0.315043003380072
"N",0.314090120436252
"N",0.3108769115468
"N",0.310579814591279
"N",0.316175326525151
"N",0.312674771508926
"N",0.310472904071261
"N",0.310902621523262
"N",0.316278576979009
"N",0.318573441320303
"N",0.313950668783367
"N",0.313880727463696
"N",0.31509221200117
"N",0.313944894389508
"N",0.316334506475666
"N",0.315326389466724
"N",0.316181174835391
"N",0.310690580428611
"N",0.311538140815638
"N",0.313000394520171
"N",0.310409702101115
"N",0.308682002244671
"N",0.310585958000848
"N",0.306067571560175
"N",0.313635133207378
"N",0.315647224234357
"N",0.316192478783803
"N",0.314625745455331
"N",0.314858929710842
"N",0.318602382391831
"N",0.316606373829624
"N",0.315016060080923
"N",0.315461747769873
"N",0.315780885850224
"N",0.307094892037585
"N",0.307784988793514
"N",0.31227371977991
"N",0.314555175280723
"N",0.30972171974693
"N",0.313219380256396
"N",0.311507929607925
"N",0.3133623258542
"N",0.320011685375849
"N",0.313724310152092
"N",0.31148340520594
"N",0.311687914110733
"N",0.310495824584728
"N",0.310189093638248
"N",0.311148892486206
"N",0.310521690897911
"N",0.313500508917906
"N",0.310129409629338
"N",0.309255097926252
"N",0.310003724705559
"N",0.312610763276066
"N",0.313004353908631
"N",0.311197655228055
"N",0.303651350332884
"N",0.309071129756689
"N",0.309148877161916
"N",0.311377152404303
"N",0.315165326877115
"N",0.310958553896307
"N",0.312706643056639
"N",0.312084441492081
"N",0.315415575695699
"N",0.30941367755006
"N",0.315902057608714
"N",0.314177649879301
"N",0.312639117197395
"N",0.311878021911597
"N",0.312079967866683
"N",0.312276553361387
"N",0.316508785783884
"N",0.307430732109596
"N",0.309399222696696
"N",0.314140951052905
"N",0.311139231241717
"N",0.313479756163356
"N",0.312168243498528
"N",0.306565594403146
"N",0.315268815458196
"N",0.314525260534178
"N",0.313913534733227
"N",0.31574920226956
"N",0.316384820825328
"N",0.316178187440448
"N",0.312163697838799
"N",0.313664043295696
"N",0.31176879857732
"N",0.31309821498642
"N",0.315412351764687
"N",0.311192085259886
"N",0.309393736836465
"N",0.313415753294193
"N",0.312474494433995
"N",0.309847900615512
"N",0.313659527907656
"N",0.315699087630051
"N",0.314075957014967
"N",0.313326662735386
"N",0.311399709541359
"N",0.310299976367173
"N",0.306278093822381
