ord;species;L;F;R;N;S;HM;T;K;TRU
P;Isolepis cernua;8;8;5;3;0;NA;NA;NA;NA
P;Isolepis setacea;7;9;5;3;0;NA;NA;NA;NA
P;Jasione montana;7;4;4;2;0;NA;NA;NA;NA
P;Juglans regia;6;4;8;7;0;NA;NA;NA;NA
P;Juncus acutiflorus;8;8;4;2;0;NA;NA;NA;NA
P;Juncus acutus;9;8;7;3;3;NA;NA;NA;NA
P;Juncus alpinoarticulatus;9;9;7;2;0;NA;NA;NA;NA
P;Juncus ambiguus;9;8;7;5;4;NA;NA;NA;NA
P;Juncus articulatus;8;9;6;3;1;NA;NA;NA;NA
P;Juncus balticus;8;8;5;2;1;NA;NA;NA;NA
P;Juncus biglumis;9;9;8;2;0;NA;NA;NA;NA
P;Juncus bufonius;7;7;6;5;1;NA;NA;NA;NA
P;Juncus bulbosus;7;10;4;2;0;NA;NA;NA;NA
P;Juncus capitatus;8;6;5;1;0;NA;NA;NA;NA
P;Juncus castaneus;8;8;7;3;0;NA;NA;NA;NA
P;Juncus compressus;8;8;7;5;1;NA;NA;NA;NA
P;Juncus conglomeratus;7;7;4;3;0;NA;NA;NA;NA
P;Juncus effusus;7;7;4;4;0;NA;NA;NA;NA
P;Juncus filiformis;7;10;6;4;0;NA;NA;NA;NA
P;Juncus foliosus;8;8;6;6;0;NA;NA;NA;NA
P;Juncus gerardii;8;7;7;6;3;NA;NA;NA;NA
P;Juncus inflexus;7;7;7;5;1;NA;NA;NA;NA
P;Juncus maritimus;8;8;8;5;5;NA;NA;NA;NA
P;Juncus pygmaeus;9;7;4;2;0;NA;NA;NA;NA
P;Juncus squarrosus;7;7;2;2;0;NA;NA;NA;NA
P;Juncus subnodulosus;8;9;8;4;7;NA;NA;NA;NA
P;Juncus tenuis;7;7;5;4;0;NA;NA;NA;NA
P;Juncus trifidus;8;5;2;2;0;NA;NA;NA;NA
P;Juncus triglumis;8;9;6;2;0;NA;NA;NA;NA
P;Juniperus communis;8;5;5;3;0;NA;NA;NA;NA
P;Kickxia elatine;7;4;6;5;0;NA;NA;NA;NA
P;Kickxia spuria;7;4;7;5;0;NA;NA;NA;NA
P;Knautia arvensis;7;3;8;4;0;NA;NA;NA;NA
P;Kobresia simpliciuscula;8;8;8;1;0;NA;NA;NA;NA
P;Koeleria macrantha;8;4;7;2;0;NA;NA;NA;NA
P;Koeleria vallesiana;8;1;8;1;0;NA;NA;NA;NA
P;Koenigia islandica;8;9;6;1;0;NA;NA;NA;NA
P;Laburnum anagyroides;6;5;7;7;0;NA;NA;NA;NA
P;Lactuca saligna;8;4;7;6;3;NA;NA;NA;NA
P;Lactuca serriola;8;5;7;6;0;NA;NA;NA;NA
P;Lactuca virosa;8;4;7;7;0;NA;NA;NA;NA
P;Lagarosiphon major;6;12;7;6;0;NA;NA;NA;NA
P;Lamiastrum galeobdolon;4;5;7;6;0;NA;NA;NA;NA
P;Lamium album;7;5;7;8;0;NA;NA;NA;NA
P;Lamium amplexicaule;7;4;7;6;0;NA;NA;NA;NA
P;Lamium confertum;7;5;7;7;0;NA;NA;NA;NA
P;Lamium hybridum;7;5;7;6;0;NA;NA;NA;NA
P;Lamium maculatum;5;6;7;8;0;NA;NA;NA;NA
P;Lamium purpureum;6;5;7;7;0;NA;NA;NA;NA
P;Lapsana communis;6;4;7;7;0;NA;NA;NA;NA
P;Larix decidua;7;4;6;3;0;NA;NA;NA;NA
P;Larix kaempferi;7;6;5;3;0;NA;NA;NA;NA
P;Larix x marschlinsii;7;6;5;3;0;NA;NA;NA;NA
P;Lathraea squamaria;3;6;7;6;0;NA;NA;NA;NA
P;Lathyrus aphaca;7;3;8;4;0;NA;NA;NA;NA
P;Lathyrus japonicus;9;5;7;6;3;NA;NA;NA;NA
P;Lathyrus latifolius;7;4;8;3;0;NA;NA;NA;NA
P;Lathyrus linifolius;6;5;4;3;0;NA;NA;NA;NA
P;Lathyrus nissolia;8;6;7;6;0;NA;NA;NA;NA
P;Lathyrus palustris;7;9;7;4;0;NA;NA;NA;NA
P;Lathyrus pratensis;7;6;6;5;0;NA;NA;NA;NA
P;Lathyrus sylvestris;7;4;8;2;0;NA;NA;NA;NA
P;Lathyrus tuberosus;6;5;7;6;0;NA;NA;NA;NA
P;Lavatera arborea;9;6;7;8;3;NA;NA;NA;NA
P;Lavatera cretica;9;4;5;5;0;NA;NA;NA;NA
P;Leersia oryzoides;8;10;8;7;0;NA;NA;NA;NA
P;Legousia hybrida;7;4;7;4;0;NA;NA;NA;NA
P;Lemna gibba;7;11;7;8;1;NA;NA;NA;NA
P;Lemna minor;7;11;7;6;0;NA;NA;NA;NA
P;Lemna minuta;7;11;7;7;0;NA;NA;NA;NA
P;Lemna trisulca;7;12;7;5;0;NA;NA;NA;NA
P;Leontodon autumnalis;8;6;6;4;1;NA;NA;NA;NA
P;Leontodon hispidus;8;4;7;3;0;NA;NA;NA;NA
P;Leontodon saxatilis;8;5;6;3;0;NA;NA;NA;NA
P;Lepidium campestre;7;4;7;6;0;NA;NA;NA;NA
P;Lepidium draba;8;4;8;6;1;NA;NA;NA;NA
P;Lepidium heterophyllum;7;4;5;4;0;NA;NA;NA;NA
P;Lepidium latifolium;8;5;7;8;3;NA;NA;NA;NA
P;Lepidium ruderale;9;4;7;7;0;NA;NA;NA;NA
P;Leucanthemum vulgare;8;4;7;4;0;NA;NA;NA;NA
P;Leucanthemum x superbum;7;4;7;5;0;NA;NA;NA;NA
P;Leucojum aestivum;7;9;7;8;0;NA;NA;NA;NA
P;Leucojum vernum;6;6;7;6;0;NA;NA;NA;NA
P;Leymus arenarius;9;5;7;6;3;NA;NA;NA;NA
P;Ligusticum scoticum;8;6;7;5;3;NA;NA;NA;NA
P;Ligustrum ovalifolium;7;5;7;8;0;NA;NA;NA;NA
P;Ligustrum vulgare;6;5;7;5;0;NA;NA;NA;NA
P;Lilium martagon;3;4;7;6;0;NA;NA;NA;NA
P;Limonium auriculae-ursifolium;9;4;6;3;4;NA;NA;NA;NA
P;Limonium bellidifolium;9;8;8;5;5;NA;NA;NA;NA
P;Limonium binervosum;9;8;8;5;5;NA;NA;NA;NA
P;Limonium britannicum;9;4;7;5;4;NA;NA;NA;NA
P;Limonium dodartiforme;9;3;7;3;4;NA;NA;NA;NA
P;Limonium humile;9;8;7;5;6;NA;NA;NA;NA
P;Limonium loganicum;9;3;4;3;4;NA;NA;NA;NA
P;Limonium normannicum;9;5;6;3;4;NA;NA;NA;NA
P;Limonium paradoxum;9;4;7;3;4;NA;NA;NA;NA
P;Limonium parvum;9;3;8;3;4;NA;NA;NA;NA
P;Limonium procerum;9;3;8;3;5;NA;NA;NA;NA
P;Limonium recurvum;9;3;7;3;5;NA;NA;NA;NA
P;Limonium transwallianum;9;3;8;3;4;NA;NA;NA;NA
P;Limonium vulgare;9;8;8;6;6;NA;NA;NA;NA
P;Limosella aquatica;8;8;5;5;0;NA;NA;NA;NA
P;Limosella australis;7;10;7;4;1;NA;NA;NA;NA
P;Linaria pelisseriana;8;3;5;4;0;NA;NA;NA;NA
P;Linaria purpurea;8;5;7;6;0;NA;NA;NA;NA
P;Linaria repens;8;5;7;5;0;NA;NA;NA;NA
P;Linaria vulgaris;7;4;8;6;0;NA;NA;NA;NA
P;Linnaea borealis;5;5;2;2;0;NA;NA;NA;NA
P;Linum bienne;8;4;7;5;0;NA;NA;NA;NA
P;Linum catharticum;8;5;7;2;0;NA;NA;NA;NA
P;Linum perenne;7;3;8;2;0;NA;NA;NA;NA
P;Linum usitatissimum;7;4;7;5;0;NA;NA;NA;NA
P;Liparis loeselii;8;8;8;3;0;NA;NA;NA;NA
P;Listera cordata;3;6;2;2;0;NA;NA;NA;NA
P;Listera ovata;6;5;7;5;0;NA;NA;NA;NA
P;Lithospermum officinale;6;5;8;5;0;NA;NA;NA;NA
P;Lithospermum purpurocaeruleum;5;4;7;4;0;NA;NA;NA;NA
P;Littorella uniflora;8;10;5;3;0;NA;NA;NA;NA
P;Lloydia serotina;7;5;5;1;0;NA;NA;NA;NA
P;Lobelia dortmanna;8;12;5;1;0;NA;NA;NA;NA
P;Lobelia urens;8;8;4;2;0;NA;NA;NA;NA
P;Lobularia maritima;9;3;7;4;3;NA;NA;NA;NA
P;Loiseleuria procumbens;9;5;2;2;0;NA;NA;NA;NA
P;Lolium multiflorum;7;5;7;7;0;NA;NA;NA;NA
P;Lolium perenne;8;5;6;6;0;NA;NA;NA;NA
P;Lonicera periclymenum;5;6;5;5;0;NA;NA;NA;NA
P;Lonicera xylosteum;5;5;7;6;0;NA;NA;NA;NA
P;Lotus angustissimus;8;3;4;3;0;NA;NA;NA;NA
P;Lotus corniculatus;7;4;6;2;1;NA;NA;NA;NA
P;Lotus glaber;7;7;7;5;1;NA;NA;NA;NA
P;Lotus pedunculatus;7;8;6;4;0;NA;NA;NA;NA
P;Lotus subbiflorus;7;5;6;5;0;NA;NA;NA;NA
P;Ludwigia palustris;8;9;4;4;0;NA;NA;NA;NA
P;Lupinus arboreus;9;4;7;3;0;NA;NA;NA;NA
P;Lupinus polyphyllus;7;5;5;5;0;NA;NA;NA;NA
P;Luronium natans;8;11;5;3;0;NA;NA;NA;NA
P;Luzula arcuata;9;5;2;2;0;NA;NA;NA;NA
P;Luzula campestris;7;4;5;2;0;NA;NA;NA;NA
P;Luzula forsteri;4;4;5;2;0;NA;NA;NA;NA
P;Luzula multiflora;7;6;3;3;0;NA;NA;NA;NA
P;Luzula pallidula;7;7;5;2;0;NA;NA;NA;NA
P;Luzula pilosa;5;5;5;3;0;NA;NA;NA;NA
P;Luzula spicata;8;5;3;2;0;NA;NA;NA;NA
P;Luzula sylvatica;5;5;4;4;0;NA;NA;NA;NA
P;Lychnis alpina;8;3;4;2;0;NA;NA;NA;NA
P;Lychnis flos-cuculi;7;9;6;4;0;NA;NA;NA;NA
P;Viscaria vulgaris;8;3;4;2;0;NA;NA;NA;NA
P;Lycium barbarum;8;5;7;4;0;NA;NA;NA;NA
P;Lycium chinense;8;5;7;4;1;NA;NA;NA;NA
P;Lycopersicon esculentum;7;5;7;8;0;NA;NA;NA;NA
P;Lycopodiella inundata;9;9;2;1;0;NA;NA;NA;NA
P;Lycopodium annotinum;6;6;3;3;0;NA;NA;NA;NA
P;Lycopodium clavatum;7;5;1;2;0;NA;NA;NA;NA
P;Lycopus europaeus;7;8;7;6;0;NA;NA;NA;NA
P;Lysichiton americanus;4;9;6;8;0;NA;NA;NA;NA
P;Lysimachia nemorum;5;7;4;5;0;NA;NA;NA;NA
P;Lysimachia nummularia;5;7;5;5;0;NA;NA;NA;NA
P;Lysimachia punctata;6;6;7;5;0;NA;NA;NA;NA
P;Lysimachia thyrsiflora;8;10;4;3;0;NA;NA;NA;NA
P;Lysimachia vulgaris;7;9;7;5;0;NA;NA;NA;NA
P;Lythrum hyssopifolia;8;6;6;4;7;NA;NA;NA;NA
P;Lythrum portula;8;8;5;3;0;NA;NA;NA;NA
P;Lythrum salicaria;7;9;7;5;0;NA;NA;NA;NA
P;Mahonia aquifolium;5;4;6;5;0;NA;NA;NA;NA
P;Maianthemum bifolium;3;5;3;3;0;NA;NA;NA;NA
P;Malus xdomestica;7;5;6;7;0;NA;NA;NA;NA
P;Malus sylvestris;7;5;6;6;0;NA;NA;NA;NA
P;Malva moschata;7;3;7;4;0;NA;NA;NA;NA
P;Malva neglecta;7;4;8;7;0;NA;NA;NA;NA
P;Malva pusilla;8;5;5;5;0;NA;NA;NA;NA
P;Malva sylvestris;8;4;8;7;0;NA;NA;NA;NA
P;Marrubium vulgare;9;5;7;8;0;NA;NA;NA;NA
P;Matricaria discoidea;7;5;7;7;0;NA;NA;NA;NA
P;Matricaria recutita;7;5;7;7;0;NA;NA;NA;NA
P;Matthiola incana;9;3;8;2;3;NA;NA;NA;NA
P;Matthiola sinuata;9;3;7;2;1;NA;NA;NA;NA
P;Meconopsis cambrica;4;5;7;5;0;NA;NA;NA;NA
P;Medicago arabica;7;5;6;5;0;NA;NA;NA;NA
P;Medicago lupulina;7;4;8;4;0;NA;NA;NA;NA
P;Medicago minima;9;3;7;2;0;NA;NA;NA;NA
P;Medicago polymorpha;9;4;5;5;0;NA;NA;NA;NA
P;Medicago sativa;7;4;6;5;0;NA;NA;NA;NA
P;Melampyrum arvense;7;4;8;3;0;NA;NA;NA;NA
P;Melampyrum cristatum;6;3;8;2;0;NA;NA;NA;NA
P;Melampyrum pratense;5;5;2;3;0;NA;NA;NA;NA
P;Melampyrum sylvaticum;4;5;2;2;0;NA;NA;NA;NA
P;Melica nutans;4;5;7;3;0;NA;NA;NA;NA
P;Melica uniflora;4;5;7;5;0;NA;NA;NA;NA
P;Melilotus albus;9;3;7;4;0;NA;NA;NA;NA
P;Melilotus altissimus;8;6;7;7;0;NA;NA;NA;NA
P;Melilotus officinalis;8;5;7;5;0;NA;NA;NA;NA
P;Melittis melissophyllum;5;4;7;5;0;NA;NA;NA;NA
P;Mentha aquatica;7;8;7;5;0;NA;NA;NA;NA
P;Mentha arvensis;6;7;7;6;0;NA;NA;NA;NA
P;Mentha pulegium;8;7;5;7;0;NA;NA;NA;NA
P;Mentha spicata;7;8;7;7;0;NA;NA;NA;NA
P;Mentha suaveolens;7;8;6;6;0;NA;NA;NA;NA
P;Menyanthes trifoliata;8;10;4;3;0;NA;NA;NA;NA
P;Mercurialis annua;7;5;7;7;0;NA;NA;NA;NA
P;Mercurialis perennis;3;6;7;7;0;NA;NA;NA;NA
P;Mertensia maritima;8;5;7;7;3;NA;NA;NA;NA
P;Meum athamanticum;8;5;4;3;0;NA;NA;NA;NA
P;Mibora minima;9;3;7;1;0;NA;NA;NA;NA
P;Milium effusum;4;5;6;5;0;NA;NA;NA;NA
P;Milium vernale;9;3;6;2;0;NA;NA;NA;NA
P;Mimulus guttatus;7;9;6;6;0;NA;NA;NA;NA
P;Mimulus luteus;7;9;5;5;0;NA;NA;NA;NA
P;Mimulus moschatus;7;8;5;5;0;NA;NA;NA;NA
P;Mimulus x robertsii;7;8;7;5;0;NA;NA;NA;NA
P;Minuartia hybrida;9;3;8;3;0;NA;NA;NA;NA
P;Minuartia recurva;8;4;3;1;0;NA;NA;NA;NA
P;Minuartia rubella;8;4;7;1;0;NA;NA;NA;NA
P;Minuartia sedoides;8;5;4;2;0;NA;NA;NA;NA
P;Minuartia stricta;9;9;8;2;0;NA;NA;NA;NA
P;Minuartia verna;8;4;7;1;0;NA;NA;NA;NA
P;Misopates orontium;7;5;6;6;0;NA;NA;NA;NA
P;Moehringia trinervia;4;5;7;6;0;NA;NA;NA;NA
P;Moenchia erecta;9;4;4;3;0;NA;NA;NA;NA
P;Molinia caerulea;7;8;3;2;0;NA;NA;NA;NA
P;Moneses uniflora;4;5;4;1;0;NA;NA;NA;NA
P;Monotropa hypopitys;4;5;6;2;0;NA;NA;NA;NA
P;Montia fontana;7;8;5;3;0;NA;NA;NA;NA
P;Muscari neglectum;7;3;7;5;0;NA;NA;NA;NA
P;Mycelis muralis;4;5;7;5;0;NA;NA;NA;NA
P;Myosotis alpestris;8;4;8;2;0;NA;NA;NA;NA
P;Myosotis arvensis;7;5;6;6;0;NA;NA;NA;NA
P;Myosotis discolor;7;5;5;3;0;NA;NA;NA;NA
P;Myosotis laxa;7;9;6;5;0;NA;NA;NA;NA
P;Myosotis ramosissima;8;3;6;3;0;NA;NA;NA;NA
P;Myosotis scorpioides;7;9;6;6;0;NA;NA;NA;NA
P;Myosotis secunda;6;9;5;4;0;NA;NA;NA;NA
P;Myosotis sicula;8;7;6;3;0;NA;NA;NA;NA
P;Myosotis stolonifera;8;9;5;4;0;NA;NA;NA;NA
P;Myosotis sylvatica;6;5;7;5;0;NA;NA;NA;NA
P;Myosoton aquaticum;7;8;7;8;0;NA;NA;NA;NA
P;Myosurus minimus;8;7;6;5;0;NA;NA;NA;NA
P;Myrica gale;8;9;3;2;0;NA;NA;NA;NA
P;Myriophyllum alterniflorum;7;12;5;3;0;NA;NA;NA;NA
P;Myriophyllum aquaticum;7;12;5;3;0;NA;NA;NA;NA
P;Myriophyllum spicatum;7;12;7;7;0;NA;NA;NA;NA
P;Myriophyllum verticillatum;7;12;7;7;0;NA;NA;NA;NA
P;Myrrhis odorata;7;6;7;7;0;NA;NA;NA;NA
P;Najas flexilis;6;12;7;4;1;NA;NA;NA;NA
P;Najas marina;5;12;9;6;0;NA;NA;NA;NA
P;Narcissus pseudonarcissus;7;5;6;5;0;NA;NA;NA;NA
P;Nardus stricta;7;7;3;2;0;NA;NA;NA;NA
P;Narthecium ossifragum;8;9;2;1;0;NA;NA;NA;NA
P;Neotinea maculata;8;4;8;2;0;NA;NA;NA;NA
P;Neottia nidus-avis;2;4;7;5;0;NA;NA;NA;NA
P;Nepeta cataria;7;4;7;6;0;NA;NA;NA;NA
P;Noccaea caerulescens;8;4;6;1;0;NA;NA;NA;NA
P;Nuphar lutea;7;11;7;6;1;NA;NA;NA;NA
P;Nuphar pumila;7;11;6;4;0;NA;NA;NA;NA
P;Nymphaea alba;7;11;6;4;0;NA;NA;NA;NA
P;Nymphoides peltata;8;11;7;6;0;NA;NA;NA;NA
P;Odontites vernus;7;5;6;5;0;NA;NA;NA;NA
P;Oenanthe aquatica;7;10;7;6;0;NA;NA;NA;NA
P;Oenanthe crocata;7;8;6;7;1;NA;NA;NA;NA
P;Oenanthe fistulosa;7;9;7;6;0;NA;NA;NA;NA
P;Oenanthe fluviatilis;8;11;8;6;0;NA;NA;NA;NA
P;Oenanthe lachenalii;8;8;8;5;3;NA;NA;NA;NA
P;Oenanthe pimpinelloides;7;7;6;3;0;NA;NA;NA;NA
P;Oenanthe silaifolia;8;9;7;5;0;NA;NA;NA;NA
P;Oenothera biennis;9;4;6;4;0;NA;NA;NA;NA
P;Oenothera cambrica;9;4;6;3;0;NA;NA;NA;NA
P;Oenothera glazioviana;9;4;6;5;0;NA;NA;NA;NA
P;Oenothera x fallax;8;3;6;5;0;NA;NA;NA;NA
P;Onobrychis viciifolia;7;4;8;3;0;NA;NA;NA;NA
P;Ononis reclinata;9;2;8;2;1;NA;NA;NA;NA
P;Ononis repens;8;4;6;3;0;NA;NA;NA;NA
P;Ononis spinosa;8;4;8;3;0;NA;NA;NA;NA
P;Onopordum acanthium;8;4;6;7;0;NA;NA;NA;NA
P;Ophioglossum azoricum;8;6;5;2;1;NA;NA;NA;NA
P;Ophioglossum lusitanicum;8;6;5;2;0;NA;NA;NA;NA
P;Ophioglossum vulgatum;8;7;7;3;0;NA;NA;NA;NA
P;Ophrys apifera;8;4;8;3;0;NA;NA;NA;NA
P;Ophrys fuciflora;8;4;9;2;0;NA;NA;NA;NA
P;Ophrys insectifera;8;5;9;2;0;NA;NA;NA;NA
P;Ophrys sphegodes;8;4;9;3;0;NA;NA;NA;NA
P;Orchis laxiflora;9;9;8;2;1;NA;NA;NA;NA
P;Orchis mascula;6;5;7;4;0;NA;NA;NA;NA
P;Orchis militaris;7;3;9;2;0;NA;NA;NA;NA
P;Orchis morio;8;4;7;3;0;NA;NA;NA;NA
P;Orchis purpurea;5;4;8;3;0;NA;NA;NA;NA
P;Orchis simia;8;3;8;2;0;NA;NA;NA;NA
P;Orchis ustulata;8;4;8;2;0;NA;NA;NA;NA
P;Oreopteris limbosperma;6;6;4;3;0;NA;NA;NA;NA
P;Origanum vulgare;6;4;7;4;0;NA;NA;NA;NA
P;Ornithogalum angustifolium;8;3;6;4;0;NA;NA;NA;NA
P;Ornithogalum pyrenaicum;5;5;7;5;0;NA;NA;NA;NA
P;Ornithopus perpusillus;7;4;4;3;0;NA;NA;NA;NA
P;Ornithopus pinnatus;8;3;3;2;0;NA;NA;NA;NA
P;Orobanche alba;8;3;7;2;0;NA;NA;NA;NA
P;Orobanche artemisiae-campestris;8;4;8;5;0;NA;NA;NA;NA
P;Orobanche caryophyllacea;8;3;9;2;0;NA;NA;NA;NA
P;Orobanche elatior;8;3;8;3;0;NA;NA;NA;NA
P;Orobanche hederae;4;5;6;5;0;NA;NA;NA;NA
P;Orobanche minor;7;4;8;6;0;NA;NA;NA;NA
P;Orobanche purpurea;7;4;7;2;0;NA;NA;NA;NA
P;Orobanche rapum-genistae;7;5;3;2;0;NA;NA;NA;NA
P;Orobanche reticulata;7;6;7;6;0;NA;NA;NA;NA
P;Orthilia secunda;5;5;5;3;0;NA;NA;NA;NA
P;Osmunda regalis;6;9;5;4;0;NA;NA;NA;NA
P;Otanthus maritimus;9;2;5;2;3;NA;NA;NA;NA
P;Oxalis acetosella;4;6;4;4;0;NA;NA;NA;NA
P;Oxalis articulata;7;3;4;2;0;NA;NA;NA;NA
P;Oxalis corniculata;7;4;6;5;0;NA;NA;NA;NA
P;Oxalis debilis;7;4;6;8;0;NA;NA;NA;NA
P;Oxalis exilis;7;4;6;4;0;NA;NA;NA;NA
P;Oxalis incarnata;6;5;6;5;0;NA;NA;NA;NA
P;Oxalis latifolia;6;5;6;5;0;NA;NA;NA;NA
P;Oxalis pes-caprae;7;4;6;5;0;NA;NA;NA;NA
P;Oxalis stricta;6;5;6;5;0;NA;NA;NA;NA
P;Oxyria digyna;7;6;5;3;0;NA;NA;NA;NA
P;Oxytropis campestris;9;4;8;2;0;NA;NA;NA;NA
P;Oxytropis halleri;9;3;8;2;0;NA;NA;NA;NA
P;Panicum miliaceum;9;3;7;6;0;NA;NA;NA;NA
P;Papaver argemone;7;4;6;5;0;NA;NA;NA;NA
P;Papaver dubium;7;5;6;5;0;NA;NA;NA;NA
P;Papaver hybridum;7;4;8;4;0;NA;NA;NA;NA
P;Papaver rhoeas;7;5;7;6;0;NA;NA;NA;NA
P;Papaver somniferum;7;4;7;8;0;NA;NA;NA;NA
P;Parapholis incurva;9;6;7;4;4;NA;NA;NA;NA
P;Parapholis strigosa;8;6;7;6;5;NA;NA;NA;NA
P;Parentucellia viscosa;7;7;7;5;0;NA;NA;NA;NA
P;Parietaria judaica;7;4;8;5;1;NA;NA;NA;NA
P;Paris quadrifolia;3;6;7;6;0;NA;NA;NA;NA
P;Parnassia palustris;8;8;7;3;0;NA;NA;NA;NA
P;Pastinaca sativa;7;4;7;5;0;NA;NA;NA;NA
P;Pedicularis palustris;8;8;5;2;0;NA;NA;NA;NA
P;Pedicularis sylvatica;8;8;3;2;0;NA;NA;NA;NA
P;Pentaglottis sempervirens;6;5;6;7;0;NA;NA;NA;NA
P;Persicaria amphibia;7;10;6;6;0;NA;NA;NA;NA
P;Persicaria bistorta;6;7;6;6;0;NA;NA;NA;NA
P;Persicaria hydropiper;7;7;6;6;0;NA;NA;NA;NA
P;Persicaria lapathifolia;7;6;7;7;0;NA;NA;NA;NA
P;Persicaria laxiflora;7;8;6;9;0;NA;NA;NA;NA
P;Persicaria maculosa;7;6;6;7;0;NA;NA;NA;NA
P;Persicaria minor;7;8;5;8;0;NA;NA;NA;NA
P;Bistorta vivipara;8;6;6;2;0;NA;NA;NA;NA
P;Persicaria wallichii;8;4;5;6;0;NA;NA;NA;NA
P;Petasites albus;5;5;5;7;0;NA;NA;NA;NA
P;Petasites fragrans;5;5;6;6;0;NA;NA;NA;NA
P;Petasites hybridus;6;7;7;7;0;NA;NA;NA;NA
P;Petrorhagia nanteuilii;9;2;6;1;3;NA;NA;NA;NA
P;Petrorhagia prolifera;8;3;5;2;0;NA;NA;NA;NA
P;Petroselinum crispum;8;4;7;5;1;NA;NA;NA;NA
P;Petroselinum segetum;8;5;8;6;0;NA;NA;NA;NA
P;Peucedanum officinale;7;5;8;4;0;NA;NA;NA;NA
P;Peucedanum palustre;7;9;7;5;0;NA;NA;NA;NA
P;Phalaris arundinacea;7;8;7;7;1;NA;NA;NA;NA
P;Phalaris canariensis;8;4;7;6;0;NA;NA;NA;NA
P;Phalaris minor;8;5;6;5;0;NA;NA;NA;NA
P;Phegopteris connectilis;4;6;4;4;0;NA;NA;NA;NA
P;Phleum alpinum;8;5;6;4;0;NA;NA;NA;NA
P;Phleum arenarium;9;3;5;3;1;NA;NA;NA;NA
P;Phleum bertolonii;8;4;7;4;0;NA;NA;NA;NA
P;Phleum phleoides;8;3;8;2;0;NA;NA;NA;NA
P;Phleum pratense;8;5;7;6;0;NA;NA;NA;NA
P;Phragmites australis;7;10;7;6;2;NA;NA;NA;NA
P;Phyllitis scolopendrium;4;5;7;5;0;NA;NA;NA;NA
P;Phyllodoce caerulea;7;4;3;2;0;NA;NA;NA;NA
P;Physospermum cornubiense;6;5;4;4;0;NA;NA;NA;NA
P;Phyteuma orbiculare;7;4;8;3;0;NA;NA;NA;NA
P;Phyteuma spicatum;5;5;6;5;0;NA;NA;NA;NA
P;Picea abies;7;6;3;4;0;NA;NA;NA;NA
P;Picea sitchensis;7;7;2;2;0;NA;NA;NA;NA
P;Picris echioides;7;5;7;6;0;NA;NA;NA;NA
P;Picris hieracioides;8;4;8;3;0;NA;NA;NA;NA
P;Pilosella aurantiaca;8;4;6;2;0;NA;NA;NA;NA
P;Pilosella flagellaris;8;4;7;4;0;NA;NA;NA;NA
P;Pilosella officinarum;8;4;7;2;0;NA;NA;NA;NA
P;Pilosella peleteriana;8;3;8;2;0;NA;NA;NA;NA
P;Pilularia globulifera;8;10;4;2;0;NA;NA;NA;NA
P;Pimpinella major;7;5;7;6;0;NA;NA;NA;NA
P;Pimpinella saxifraga;7;4;7;3;0;NA;NA;NA;NA
P;Pinguicula grandiflora;7;8;4;2;0;NA;NA;NA;NA
P;Pinguicula lusitanica;8;8;4;2;0;NA;NA;NA;NA
P;Pinguicula vulgaris;8;8;6;2;0;NA;NA;NA;NA
P;Pinus contorta;7;5;5;2;0;NA;NA;NA;NA
P;Pinus nigra;7;3;5;2;0;NA;NA;NA;NA
P;Pinus sylvestris;7;6;2;2;0;NA;NA;NA;NA
P;Pisum sativum;7;4;7;7;0;NA;NA;NA;NA
P;Plantago coronopus;8;6;6;4;2;NA;NA;NA;NA
P;Plantago lanceolata;7;5;6;4;0;NA;NA;NA;NA
P;Plantago major;7;5;6;7;0;NA;NA;NA;NA
P;Plantago maritima;8;7;6;4;3;NA;NA;NA;NA
P;Plantago media;8;4;7;3;0;NA;NA;NA;NA
P;Platanthera bifolia;6;6;6;2;0;NA;NA;NA;NA
P;Platanthera montana;5;5;7;4;0;NA;NA;NA;NA
P;Poa alpina;7;5;7;3;0;NA;NA;NA;NA
P;Poa angustifolia;7;5;7;5;0;NA;NA;NA;NA
P;Poa annua;7;5;6;7;1;NA;NA;NA;NA
P;Poa bulbosa;8;3;5;2;0;NA;NA;NA;NA
P;Poa chaixii;5;5;6;5;0;NA;NA;NA;NA
P;Poa compressa;9;4;7;4;0;NA;NA;NA;NA
P;Poa flexuosa;8;5;3;2;0;NA;NA;NA;NA
P;Poa glauca;7;5;6;3;0;NA;NA;NA;NA
P;Poa humilis;8;6;6;4;2;NA;NA;NA;NA
P;Poa infirma;8;4;5;5;0;NA;NA;NA;NA
P;Poa nemoralis;4;5;6;5;0;NA;NA;NA;NA
P;Poa palustris;7;9;7;6;0;NA;NA;NA;NA
P;Poa pratensis;7;5;6;5;0;NA;NA;NA;NA
P;Poa trivialis;7;6;6;6;0;NA;NA;NA;NA
P;Polemonium caeruleum;5;5;7;6;0;NA;NA;NA;NA
P;Polycarpon tetraphyllum;9;4;6;4;0;NA;NA;NA;NA
P;Polygala amarella;9;6;9;1;0;NA;NA;NA;NA
P;Polygala calcarea;7;3;8;2;0;NA;NA;NA;NA
P;Polygala serpyllifolia;8;7;2;2;0;NA;NA;NA;NA
P;Polygala vulgaris;8;5;6;3;0;NA;NA;NA;NA
P;Polygonatum multiflorum;4;5;7;6;0;NA;NA;NA;NA
P;Polygonatum odoratum;5;3;7;3;0;NA;NA;NA;NA
P;Polygonatum verticillatum;4;5;5;5;0;NA;NA;NA;NA
