ord;species;L;F;R;N;S;HM;T;K;TRU
P;Asplenium trichomanes;5;3;8;2;0;NA;NA;NA;NA
P;Asplenium viride;4;5;8;3;0;NA;NA;NA;NA
P;Aster linosyris;8;3;8;1;0;NA;NA;NA;NA
P;Aster novae-angliae;7;5;7;6;0;NA;NA;NA;NA
P;Tripolium pannonicum;9;8;7;6;5;NA;NA;NA;NA
P;Aster salignus;7;5;7;6;1;NA;NA;NA;NA
P;Astragalus alpinus;9;4;6;2;0;NA;NA;NA;NA
P;Astragalus danicus;8;3;8;2;0;NA;NA;NA;NA
P;Astragalus glycyphyllos;6;4;7;3;0;NA;NA;NA;NA
P;Athyrium distentifolium;6;6;3;4;0;NA;NA;NA;NA
P;Athyrium filix-femina;5;7;5;6;0;NA;NA;NA;NA
P;Athyrium flexile;7;6;3;4;0;NA;NA;NA;NA
P;Atriplex glabriuscula;9;6;7;8;3;NA;NA;NA;NA
P;Atriplex laciniata;9;6;7;7;3;NA;NA;NA;NA
P;Atriplex littoralis;9;6;7;6;4;NA;NA;NA;NA
P;Atriplex longipes;9;6;7;8;4;NA;NA;NA;NA
P;Atriplex patula;7;5;7;7;2;NA;NA;NA;NA
P;Atriplex pedunculata;9;8;7;8;5;NA;NA;NA;NA
P;Atriplex portulacoides;9;8;8;6;6;NA;NA;NA;NA
P;Atriplex praecox;9;5;7;6;3;NA;NA;NA;NA
P;Atriplex prostrata;8;7;7;7;2;NA;NA;NA;NA
P;Atropa belladonna;5;4;8;6;0;NA;NA;NA;NA
P;Avena fatua;7;4;7;7;0;NA;NA;NA;NA
P;Avena sativa;7;5;7;7;0;NA;NA;NA;NA
P;Avena strigosa;7;7;5;5;0;NA;NA;NA;NA
P;Azolla filiculoides;7;11;8;8;0;NA;NA;NA;NA
P;Baldellia ranunculoides;8;10;6;2;0;NA;NA;NA;NA
P;Ballota nigra;7;4;8;6;0;NA;NA;NA;NA
P;Barbarea intermedia;8;5;6;7;0;NA;NA;NA;NA
P;Barbarea stricta;8;7;7;8;0;NA;NA;NA;NA
P;Barbarea verna;8;5;6;6;0;NA;NA;NA;NA
P;Barbarea vulgaris;7;6;7;8;0;NA;NA;NA;NA
P;Bartsia alpina;8;8;7;2;0;NA;NA;NA;NA
P;Bellis perennis;8;5;6;4;0;NA;NA;NA;NA
