Scientific_name	Family	Svenskt_namn	Dyntaxa_ID_number	Establishment	Red-listed	Time_of_immigration	Index_of_invasive_concern	Biodiversity_relevance	Nectar_production	Heat_requirement	Cold_requirement	Temp_optimum	Continentality	Light	Moisture	Soil_reaction_pH	Nitrogen	Phosphorus	Salinity	Grazing_mowing	Soil_disturbance	Longevity	Pollinator_dependence	Phenology	Extreme_phenology	Seed_dormancy	Seed_bank	Seed_disperser	Nitrogen_fixation	Photosynthetic_pathway	Mycorrhiza	Carnivory	Parasitism
Diplazium sibiricum (Turcz. ex Kunze) Sa. Kurata	Athyriaceae	ryssbräken	118	Resident	VU	0	0	1	1	7	11	12	8	4	7				1			4	0b					AirD	0	C3		0	0
Diplotaxis muralis (L.) DC.	Brassicaceae	mursenap	220488	Resident	Not Red-listed	3	11,6	3	4	12	1	2	5	7	2	7	6	5	2	5	7	1	0c	8	1			Passive	0	C3	None	0	0
Diplotaxis tenuifolia (L.) DC.	Brassicaceae	sandsenap	220489	Resident	Not Red-listed	3	7,7	3	4	13	3	4	5	7	2	8	5	4	2	5	7	3	1	8	1		1	Passive	0	C3	None	0	0
Dipsacus fullonum L.	Caprifoliaceae	kardvädd	220490	Resident	Not Red-listed	4	7,2	3	6	11	3	5	6	7	4	7	8	5	2	1	7	2	1	11	4	2	2	Passive	0	C3	AM	0	0
Dipsacus laciniatus L.	Caprifoliaceae	flikig kardvädd	221019	Non-resident	Not Red-listed			2	6	12	3	4	5	7	4	7	8	5	2	1		2	2	11	4			Passive	0	C3	AM	0	0
Dipsacus strigosus Willd.	Caprifoliaceae	sträv kardvädd	221021	Resident	Not Red-listed	3	12,8	1	6	11	4	6	7	5	5	7	8	5	2	1	4	2	2	11	4	4		Passive	0	C3	AM	0	0
Dittrichia graveolens (L.) Greuter	Asteraceae	kamferkrissla	221022	Non-resident	Not Red-listed			1	4	13	2	3	4	7	3	7	5	5	2	3	7	1	0c	13	6	4			0		AM	0	0
Doronicum columnae Ten.	Asteraceae	balkangemsrot	220114	Non-resident	Not Red-listed			1	4	11	4	6	4	4	4	7	6	3	1	2	1	4	2	4	5				0	C3	AM	0	0
Doronicum orientale Hoffm.	Asteraceae	gemsrot	220116	Resident	Not Red-listed	6	12,5	2	4	9	3	6	6	3	4	6	7	3	1	2	1	4	2	6	3				0	C3	AM	0	0
Doronicum pardalianches L.	Asteraceae	klostergemsrot	220117	Resident	Not Red-listed	4	11,4	2	4	11	3	5	4	3	5	6	8	5	1	2	1	4	2	8	1	2			0	C3	AM	0	0
