"","ind","reg","per","low","med","upp","names_plot"
"53","EllN2_scaled","E",6,0.687517661851104,0.728676592947034,0.772221270325842,"Ellenberg N (upper lv*)"
"54","EllN2_scaled","Norge",6,0.66535106473569,0.689222335430417,0.712434656701001,"Ellenberg N (upper lv*)"
"55","forest_scaled","C",6,0.394909483804926,0.412529430996156,0.430757880206183,"Nature Index for forests"
"56","forest_scaled","N",6,0.39442466968623,0.415526115673963,0.435289475974526,"Nature Index for forests"
"57","forest_scaled","W",6,0.35547942607293,0.374054243498359,0.393597183632666,"Nature Index for forests"
"58","forest_scaled","S",6,0.412236169232748,0.430643301378496,0.450601518675997,"Nature Index for forests"
"59","forest_scaled","E",6,0.392301511565592,0.410052720895984,0.427872716829036,"Nature Index for forests"
"60","forest_scaled","Norge",6,0.398724573629537,0.411503881936491,0.424703081611943,"Nature Index for forests"
"61","inon_scaled","C",6,0.156440283446332,0.173376770992246,0.190255662795733,"Area without technical infrastructure"
"62","inon_scaled","N",6,0.376819141242536,0.418214203290681,0.458263523725661,"Area without technical infrastructure"
"63","inon_scaled","W",6,0.0918921931690558,0.102083941561028,0.112004196190043,"Area without technical infrastructure"
"64","inon_scaled","S",6,0.0684667396928261,0.075782895673358,0.0831645761740998,"Area without technical infrastructure"
"65","inon_scaled","E",6,0.0599637898768569,0.0663958094550749,0.0727035669045195,"Area without technical infrastructure"
"66","inon_scaled","Norge",6,0.161237441417051,0.178799392475176,0.196396585180352,"Area without technical infrastructure"
"67","ndviL_scaled","C",6,0.888332094064861,0.890725067907864,0.893049639349647,"NDVI (lower lv*)"
"68","ndviL_scaled","N",6,0.860813916581097,0.862650342964998,0.86449009581413,"NDVI (lower lv*)"
"69","ndviL_scaled","W",6,0.90763483844375,0.910191207764228,0.912770338118487,"NDVI (lower lv*)"
"70","ndviL_scaled","S",6,0.879127645627458,0.881743242492634,0.884294685416785,"NDVI (lower lv*)"
"71","ndviL_scaled","E",6,0.902478891479295,0.904113760749985,0.905735916448605,"NDVI (lower lv*)"
"72","ndviL_scaled","Norge",6,0.88220331772378,0.883180219666151,0.884195684786946,"NDVI (lower lv*)"
"73","ndviU_scaled","C",6,0.774789141097959,0.777030678220614,0.779271360722539,"NDVI (upper lv*)"
"74","ndviU_scaled","N",6,0.74469728052756,0.74664626062864,0.748582873087007,"NDVI (upper lv*)"
"75","ndviU_scaled","W",6,0.790471441080843,0.79373744527493,0.797099520877376,"NDVI (upper lv*)"
"76","ndviU_scaled","S",6,0.784567136825876,0.78718891325707,0.789761140533302,"NDVI (upper lv*)"
"77","ndviU_scaled","E",6,0.791957597787408,0.793683601931801,0.795423584255899,"NDVI (upper lv*)"
"78","ndviU_scaled","Norge",6,0.772498183325582,0.773472569695605,0.774453905594998,"NDVI (upper lv*)"
"79","old_scaled","C",6,0.284364758048969,0.315211104684789,0.346057451320609,"Biologically old forest"
"80","old_scaled","N",6,0.178204249485949,0.206762622801005,0.234178661183459,"Biologically old forest"
"81","old_scaled","W",6,0.174329501915709,0.208812260536398,0.247126436781609,"Biologically old forest"
"82","old_scaled","S",6,0.24198617221873,0.271317829457364,0.302744605070186,"Biologically old forest"
"83","old_scaled","E",6,0.211489115139475,0.229285655160997,0.247082195182518,"Biologically old forest"
"84","old_scaled","Norge",6,0.23287859997244,0.244763676450324,0.256476505443021,"Biologically old forest"
"85","pred_scaled","C",6,0.0469900073544874,0.0538967829912283,0.0616544128243181,"Large carnivores"
"86","pred_scaled","N",6,0.0205311067169131,0.0243720528034802,0.0294714789528349,"Large carnivores"
"87","pred_scaled","W",6,5.08025688497586e-08,8.1632222188066e-05,0.131673719118881,"Large carnivores"
"88","pred_scaled","S",6,0.0255256978384275,0.0345386400887671,0.0600830250417717,"Large carnivores"
"89","pred_scaled","E",6,0.0794467011850438,0.0869765368416748,0.0951047139818341,"Large carnivores"
"90","pred_scaled","Norge",6,0.0457899369033262,0.0494970816269604,0.0652297689780717,"Large carnivores"
"91","ros_scaled","C",6,0.13900588022942,0.154400301715828,0.170643965731637,"Rowan-aspen-goat willow"
"92","ros_scaled","N",6,0.186924022732465,0.205455620287869,0.224555211046379,"Rowan-aspen-goat willow"
"93","ros_scaled","W",6,0.211815804310345,0.236833810344827,0.262641471264368,"Rowan-aspen-goat willow"
"94","ros_scaled","S",6,0.201673899329563,0.220242118164676,0.239857978891683,"Rowan-aspen-goat willow"
"95","ros_scaled","E",6,0.0680117946362056,0.0754420300471815,0.0834270569903154,"Rowan-aspen-goat willow"
"96","ros_scaled","Norge",6,0.143078974214551,0.149581736599146,0.156146083255822,"Rowan-aspen-goat willow"
