"","OBJECTID","SSBID","ANOID","RSIZE","ROW","COL","XCOOR","YCOOR","ANONUM","PakkeNr","Overvåkingsår","CountyNr","MunicNr","CountyName","Region.x","RegionNr","Kommune_OLD","Kommune","Fylke","Region.y","refs_blabar"
"125",656,20455006664000,"ANO0309",500,305,492,45750,6664250,309,2,2020,12,4618,"Hordaland nor","W",3,1228,"ODDA","Hordaland","Vestlandet",12.5
"126",656,20455006664000,"ANO0309",500,305,492,45750,6664250,309,2,2020,12,4618,"Hordaland nor","W",3,1231,"ULLENSVANG","Hordaland","Vestlandet",12.5
"127",609,23470007092500,"ANO0310",500,908,1349,347250,7092750,310,2,2020,50,5006,"Trøndelag nor","C",2,1702,"STEINKJER","Nord-Trøndelag","Midt-Norge",12.5
"128",609,23470007092500,"ANO0310",500,908,1349,347250,7092750,310,2,2020,50,5006,"Trøndelag nor","C",2,1724,"VERRAN","Nord-Trøndelag","Midt-Norge",12.5
"129",600,19660006636000,"ANO0311",500,146,436,-33750,6636250,311,2,2020,11,1160,"Rogaland nor","W",3,1160,"VINDAFJORD","Rogaland","Vestlandet",12.5
"130",253,25685007574000,"ANO0318",500,1351,2312,568750,7574250,318,1,2020,18,1806,"Nordland nor","N",1,1805,"NARVIK","Nordland","Nord-Norge",5
"131",253,25685007574000,"ANO0318",500,1351,2312,568750,7574250,318,1,2020,18,1806,"Nordland nor","N",1,1850,"TYSFJORD","Nordland","Nord-Norge",5
"132",253,25685007574000,"ANO0318",500,1351,2312,568750,7574250,318,1,2020,18,1806,"Nordland nor","N",1,1854,"BALLANGEN","Nordland","Nord-Norge",5
"133",767,20950006511500,"ANO0322",500,404,187,95250,6511750,322,3,2020,9,4216,"Aust-Agder nor","S",4,928,"BIRKENES","Aust-Agder","Sørlandet",12.5
"134",527,23165007166000,"ANO0324",500,847,1496,316750,7166250,324,2,2020,50,5007,"Trøndelag nor","C",2,1703,"NAMSOS","Nord-Trøndelag","Midt-Norge",12.5
